x	y	z	DNA Damage/Telomere Stress Induced Senescence
229	290	32	1
230	290	32	1
234	290	32	1
235	290	32	1
237	290	32	2
244	290	32	1
250	290	32	1
186	291	32	1
197	291	32	1
229	291	32	1
238	291	32	2
241	291	32	1
245	291	32	1
247	291	32	1
254	291	32	1
198	292	32	1
199	292	32	2
221	292	32	1
222	292	32	2
223	292	32	1
199	293	32	1
216	293	32	1
223	293	32	1
229	293	32	1
245	293	32	1
248	293	32	1
253	293	32	2
204	294	32	1
228	294	32	1
230	295	33	2
246	294	32	1
223	295	32	1
248	295	32	1
249	295	32	1
220	296	32	1
228	296	32	1
234	296	32	2
242	296	32	1
243	296	32	1
251	296	32	1
255	296	32	2
221	297	32	1
226	297	32	1
230	297	32	2
244	298	32	1
231	299	32	1
240	299	32	1
245	299	32	1
196	300	32	1
225	300	32	1
227	300	32	1
236	300	32	1
246	300	32	1
210	301	32	1
221	301	32	1
227	301	32	1
232	301	32	1
237	301	32	2
239	301	32	1
240	301	32	1
241	301	32	1
243	301	32	1
223	302	32	1
241	302	32	1
245	302	32	1
239	303	32	2
245	303	32	1
217	304	32	1
225	304	32	1
238	304	32	1
239	304	32	1
245	304	32	1
204	305	32	1
234	305	32	1
237	306	32	1
206	307	32	1
225	307	32	2
226	307	32	1
235	307	32	1
220	308	32	1
221	308	32	1
223	308	32	1
227	308	32	1
228	309	32	1
234	309	32	1
225	310	32	1
229	310	32	1
227	251	33	1
227	252	33	1
231	252	33	1
240	252	33	1
217	253	33	1
225	253	33	1
241	253	33	1
217	254	33	2
236	254	33	1
215	256	33	1
222	257	33	2
224	257	33	1
237	257	33	1
242	258	33	1
244	258	33	1
189	259	33	1
201	259	33	1
216	259	33	1
223	259	33	1
226	259	33	1
231	259	33	1
239	259	33	1
244	259	33	1
246	259	33	1
213	260	33	1
215	260	33	1
217	260	33	1
230	260	33	3
233	260	33	1
236	260	33	1
240	260	33	1
243	260	33	1
193	261	33	1
216	261	33	1
230	261	33	1
231	261	33	1
232	261	33	1
216	262	33	1
219	262	33	2
227	262	33	1
230	262	33	1
233	262	33	1
238	262	33	1
240	262	33	1
246	262	33	1
249	262	33	2
250	262	33	1
190	263	33	1
191	263	33	1
193	263	33	1
200	263	33	1
212	263	33	1
223	263	33	1
225	263	33	1
239	263	33	1
242	263	33	1
243	263	33	1
248	263	33	1
185	264	33	1
190	264	33	1
191	264	33	1
223	264	33	1
226	264	33	1
231	264	33	1
245	264	33	1
249	264	33	1
185	265	33	1
210	265	33	2
214	265	33	1
217	265	33	1
220	265	33	1
229	265	33	1
235	265	33	1
239	265	33	1
186	266	33	1
192	266	33	1
197	266	33	1
215	266	33	1
216	266	33	3
219	266	33	1
222	266	33	1
225	266	33	2
228	266	33	1
240	266	33	1
247	266	33	1
249	266	33	1
250	266	33	1
186	267	33	1
202	267	33	1
214	267	33	1
217	267	33	1
220	267	33	1
221	267	33	1
226	267	33	1
229	267	33	2
231	267	33	1
244	267	33	1
188	268	33	1
192	268	33	1
193	268	33	1
212	268	33	1
213	268	33	1
216	268	33	1
224	268	33	1
231	268	33	1
250	268	33	2
191	269	33	1
198	269	33	1
233	269	33	1
244	269	33	1
250	269	33	1
179	270	33	1
184	270	33	2
185	270	33	1
188	270	33	1
207	270	33	1
209	270	33	1
215	270	33	1
240	270	33	1
243	270	33	1
244	270	33	1
245	270	33	1
249	270	33	1
175	271	33	1
178	271	33	3
180	271	33	1
190	271	33	1
208	271	33	1
217	271	33	1
231	271	33	1
237	271	33	1
239	271	33	1
240	271	33	1
242	271	33	1
245	271	33	1
176	272	33	1
177	272	33	1
182	272	33	1
185	272	33	1
203	272	33	1
205	272	33	1
207	272	33	2
208	272	33	1
213	272	33	2
233	272	33	1
235	272	33	1
240	272	33	1
250	272	33	1
185	273	33	1
186	273	33	1
190	273	33	1
205	273	33	1
215	273	33	1
230	273	33	1
253	273	33	1
174	274	33	1
177	274	33	1
182	274	33	1
190	274	33	1
201	274	33	1
207	274	33	1
233	274	33	1
236	274	33	1
242	274	33	1
250	274	33	1
183	275	33	1
206	275	33	1
209	275	33	1
217	275	33	1
227	275	33	1
239	275	33	1
241	275	33	2
189	276	33	1
201	276	33	1
237	276	33	2
243	276	33	1
173	277	33	1
174	277	33	2
180	277	33	1
202	277	33	1
206	277	33	1
207	277	33	1
209	277	33	2
234	277	33	1
241	277	33	2
211	278	33	1
234	278	33	1
244	278	33	1
178	279	33	1
181	279	33	1
207	279	33	1
231	279	33	1
234	279	33	1
240	279	33	1
241	279	33	1
243	279	33	1
245	279	33	1
187	280	33	1
223	280	33	1
224	280	33	1
226	280	33	1
239	280	33	1
173	281	33	1
176	281	33	1
180	281	33	1
225	281	33	1
239	281	33	1
249	281	33	1
175	282	33	1
190	282	33	1
212	282	33	1
222	282	33	1
233	282	33	1
248	282	33	1
250	282	33	1
251	282	33	1
179	283	33	1
206	283	33	1
218	283	33	1
226	283	33	2
239	283	33	1
240	283	33	1
241	283	33	1
247	283	33	1
249	283	33	1
205	284	33	1
224	284	33	3
233	284	33	1
241	284	33	2
246	284	33	1
249	284	33	1
204	285	33	1
221	285	33	1
223	285	33	1
224	285	33	1
209	286	33	1
225	286	33	1
226	286	33	1
228	286	33	1
239	286	33	2
241.5	286.5	33.5	1
242	286	33	1
198	287	33	1
224	287	33	1
227	287	33	1
228	287	33	1
234	287	33	1
236	287	33	4
253	287	33	1
