x	y	z	NEP/NS2 Interacts with the Cellular Export Machinery
234	266	28	2
234	267	28	1
236	267	28	1
238	268	28	2
237	269	28	1
238	269	28	1
235	270	28	1
238	270	28	1
250	270	28	1
206	272	28	1
233	272	28	1
234	272	28	1
250	272	28	1
235	274	28	2
234	276	28	1
235	276	28	1
236	277	28	3
237	277	28	2
238	277	28	1
237	278	28	1
248	279	28	1
235	280	28	2
251	280	28	2
210	281	28	1
235	281	28	1
234	282	28	1
251	282	28	1
249	283	28	1
254	283	28	2
235	284	28	1
248	284	28	1
254	284	28	1
240	285	28	1
242	285	28	1
248	285	28	3
232	286	28	1
235	286	28	1
247	286	28	1
249	286	28	1
240	287	28	2
244	287	28	1
251	287	28	1
245	288	28	1
227	289	28	1
228	289	28	1
243	289	28	1
247	289	28	1
237	290	28	1
237	291	28	1
240	291	28	1
249	291	28	1
250	291	28	1
239	292	28	1
241	292	28	1
247	292	28	1
250	292	28	1
243	293	28	1
248	293	28	2
249	293	28	2
240	294	28	1
242	294	28	1
240	295	28	1
241	295	28	2
242	295	28	1
240	299	28	2
225	300	28	1
240	300	28	1
234	256	29	1
235	256	29	1
233	258	29	1
237	258	29	1
181	260	29	1
182	260	29	1
234	260	29	1
183	261	29	1
226	261	29	3
230	261	29	2
229	262	29	2
245	263	29	1
248	263	29	2
224	264	29	2
226	264	29	1
231	264	29	2
238	264	29	1
245	264	29	1
248	264	29	2
232	265	29	1
233	265	29	1
235	265	29	1
178	266	29	1
228	266	29	1
234	266	29	2
248	266	29	1
250	266	29	1
192	267	29	1
214	267	29	1
226	267	29	3
232	267	29	1
235	267	29	1
241	267	29	3
201	268	29	1
231	268	29	1
234	268	29	1
235	268	29	1
236	268	29	1
238	268	29	1
250	268	29	1
180	269	29	1
204	269	29	1
234	269	29	1
249	269	29	1
178	270	29	1
198	270	29	1
235	270	29	1
215	271	29	1
237	271	29	2
238	271	29	2
211	272	29	1
214	272	29	1
224	272	29	1
233	272	29	1
234	272	29	1
238	272	29	1
239	272	29	1
212	273	29	1
225	273	29	1
236	273	29	1
238	273	29	1
250	273	29	1
233	274	29	4
234	274	29	2
215	275	29	1
231	275	29	1
235	275	29	1
239	275	29	2
241	275	29	1
208	276	29	1
232	276	29	1
238	276	29	1
240	276	29	2
241	276	29	2
246	276	29	1
248	276	29	1
249	276	29	2
232	277	29	1
234	277	29	1
237	277	29	1
240	277	29	3
239	278	29	1
245	278	29	1
206	279	29	1
256	279	29	1
236	280	29	2
241	280	29	1
245	280	29	3
254	280	29	1
214	281	29	1
235	281	29	1
238	281	29	1
245	281	29	1
247	281	29	1
248	281	29	1
212	282	29	1
235	282	29	1
242	282	29	1
232	283	29	1
236	283	29	1
244	283	29	2
246	283	29	1
247	283	29	1
211	284	29	1
232	284	29	1
237	284	29	1
240	284	29	1
248	284	29	1
250	284	29	1
227	285	29	1
238	285	29	1
239	285	29	1
241	285	29	1
242	285	29	1
248	285	29	1
232	286	29	1
235	286	29	1
241	286	29	1
243	286	29	1
247	286	29	1
252	286	29	1
225	287	29	2
228	287	29	1
232	287	29	1
240	287	29	1
244	287	29	1
225	288	29	1
226	288	29	1
228	288	29	2
241	288	29	1
246	288	29	1
224	289	29	1
228	289	29	1
236	289	29	1
240	289	29	1
245	289	29	1
254	289	29	1
224	290	29	1
225	290	29	1
227	290	29	1
228	290	29	1
238	290	29	2
239	290	29	1
245	290	29	1
238	291	29	1
239	291	29	1
240	291	29	1
245	291	29	1
246	291	29	1
247	291	29	2
250	291	29	1
251	291	29	1
236	292	29	1
241	292	29	1
242	292	29	2
248	292	29	1
249	292	29	1
225	293	29	1
249	293	29	1
221	294	29	1
224	294	29	1
243	294	29	1
246	294	29	1
248	294	29	1
223	295	29	1
247	295	29	1
223	296	29	1
239	296	29	2
255	296	29	1
238	297	29	1
240	297	29	1
242	297	29	2
245	297	29	1
248	297	29	1
219	298	29	1
221	298	29	1
224	298	29	2
226	298	29	1
237	298	29	1
245	298	29	1
247	298	29	2
222	299	29	1
240	299	29	1
226	300	29	1
235	300	29	1
236	300	29	1
240	300	29	1
247	300	29	1
224	301	29	2
225	301	29	3
236	301	29	1
238	301	29	1
224	302	29	1
236	305	29	1
225	251	30	1
215	252	30	1
237	253	30	1
215	254	30	1
231	254	30	1
232	254	30	1
233	254	30	1
191	255	30	2
215	255	30	1
230	255	30	1
230	256	30	2
232	256	30	1
235	256	30	1
181	257	30	2
192	257	30	1
227	257	30	1
229	257	30	2
237	257	30	2
239	257	30	1
175	258	30	1
186	258	30	1
203	258	30	2
229	258	30	1
237	258	30	1
239	258	30	1
175	259	30	1
206	259	30	1
216	259	30	1
219	259	30	5
224	259	30	2
228	259	30	1
234	259	30	2
223	260	30	2
227	260	30	1
228	260	30	1
231	260	30	1
235	260	30	3
240	260	30	1
186	261	30	1
187	261	30	1
188	261	30	2
211	261	30	1
224	261	30	1
230	261	30	2
236	261	30	2
238	261	30	2
241	261	30	1
246	261	30	1
178	262	30	2
179	262	30	1
188	262	30	1
193	262	30	2
209	262	30	1
220	262	30	1
225	262	30	1
231	262	30	1
233	262	30	3
245	262	30	1
246	262	30	1
179	263	30	2
193	263	30	1
210	263	30	1
211	263	30	1
215	263	30	1
218	263	30	1
222	263	30	2
226	263	30	1
227	263	30	1
234	263	30	1
242	263	30	1
248	263	30	1
186	264	30	1
194	264	30	1
195	264	30	1
232	264	30	3
236	264	30	1
238	264	30	2
239	264	30	1
241	264	30	2
246	264	30	1
183	265	30	2
191	265	30	1
196	265	30	1
211	265	30	1
212	265	30	2
213	265	30	1
214	265	30	2
217	265	30	1
224	265	30	1
228	265	30	1
229	265	30	1
244	265	30	2
247	265	30	1
188	266	30	3
195	266	30	1
197	266	30	1
211	266	30	2
229	266	30	2
239.5	266.5	30.5	1
241	266	30	1
243	266	30	1
176	267	30	1
191	267	30	2
193	267	30	1
194	267	30	1
196	267	30	2
198	267	30	1
208	267	30	1
209	267	30	1
219	267	30	1
239	267	30	1
249	267	30	1
188	268	30	1
189	268	30	1
207	268	30	1
213	268	30	1
214	268	30	1
216	268	30	1
223	268	30	3
226	268	30	1
228	268	30	1
230	268	30	1
238	268	30	1
250	268	30	1
180	269	30	2
196	269	30	1
211	269	30	1
215	269	30	1
238	269	30	1
242	269	30	1
243	269	30	1
248	269	30	1
252	269	30	1
178	270	30	1
184	270	30	1
195	270	30	1
196	270	30	1
197	270	30	1
198	270	30	1
207	270	30	3
215	270	30	3
223	270	30	1
227	270	30	3
234	270	30	1
244	270	30	1
181	271	30	1
183	271	30	2
188	271	30	1
193	271	30	1
200	271	30	1
201	271	30	1
206	271	30	1
211	271	30	2
229	271	30	1
233	271	30	2
234	271	30	1
244	271	30	1
179	272	30	1
182	272	30	1
185	272	30	1
197	272	30	1
206	272	30	1
207	272	30	1
223	272	30	1
227	272	30	1
235	272	30	1
181	273	30	2
183	273	30	1
203	273	30	1
208	273	30	1
227	273	30	1
232	273	30	1
233	273	30	1
235	273	30	1
240	273	30	1
246	273	30	2
183	274	30	1
185	274	30	1
209	274	30	1
239	274	30	1
241	274	30	2
251	274	30	1
203	275	30	1
211	275	30	1
215	275	30	1
236	275	30	2
238	275	30	1
244	275	30	1
250	275	30	1
251	275	30	1
179	276	30	1
186	276	30	1
205	276	30	1
207	276	30	1
233	276	30	1
236	276	30	1
241	276	30	1
243	276	30	1
248	276	30	1
253	276	30	2
174	277	30	1
180	277	30	1
235	277	30	2
243	277	30	1
250	277	30	1
203	278	30	1
206	278	30	1
226	278	30	2
239	278	30	1
247	278	30	1
248	278	30	1
250	278	30	1
253	278	30	1
