x	y	z	Deposition of new CENPA-containing nucleosomes at the centromere
214	286	27	1
216	286	27	1
218	286	27	1
220	286	27	1
225	286	27	1
237	286	27	1
239	286	27	1
244	286	27	1
254	286	27	1
255	286	27	1
219	287	27	1
222	287	27	1
227	287	27	1
230	287	27	1
231	287	27	1
236	287	27	1
252	287	27	1
255	287	27	1
211	288	27	1
222	288	27	1
224	288	27	1
225	288	27	2
232	288	27	1
234	288	27	1
238	288	27	1
240	288	27	3
242	288	27	1
245	288	27	1
247	288	27	1
253	288	27	1
219	289	27	1
223	289	27	1
224	289	27	1
226	289	27	1
227	289	27	1
232	289	27	2
233	289	27	1
236	289	27	2
238	289	27	1
239	289	27	1
240	289	27	1
242	289	27	1
246	289	27	1
252	289	27	1
253	289	27	1
254	289	27	1
219	290	27	1
221	290	27	1
228	290	27	1
232	290	27	1
237	290	27	1
240	290	27	1
243	290	27	2
250	290	27	1
210	291	27	2
236	291	27	1
238	291	27	1
246	291	27	1
247	291	27	1
257	291	27	1
220	292	27	1
221	292	27	1
224	292	27	1
225	292	27	1
230	292	27	1
234	292	27	1
235	292	27	1
247	292	27	1
211	293	27	1
218	293	27	1
223	293	27	1
224	293	27	1
226	293	27	1
229	293	27	1
234	293	27	1
237	293	27	1
242	293	27	1
249	293	27	1
250	293	27	1
251	293	27	1
211	294	27	2
220	294	27	2
224	294	27	1
225	294	27	1
237	294	27	1
249	294	27	1
253	294	27	2
219	295	27	2
220	295	27	1
226	295	27	1
239	295	27	1
246	295	27	1
247	295	27	1
250	295	27	1
236	296	27	2
239	296	27	2
247	296	27	1
225	297	27	1
236	297	27	1
242	297	27	1
223	298	27	1
224	298	27	1
226	298	27	1
235	298	27	1
237	298	27	1
238	298	27	1
239	298	27	1
243	298	27	2
245	298	27	1
215	299	27	1
240	299	27	1
245	299	27	1
247	299	27	1
248	299	27	2
235	300	27	1
237	300	27	1
227	301	27	1
243	301	27	1
247	301	27	1
244	302	27	1
245	302	27	1
235	304	27	1
230	262	28	1
231	264	28	2
234	265	28	1
231	266	28	1
232	266	28	1
235	266	28	2
234	267	28	1
231	268	28	1
236	270	28	1
250	270	28	1
240	271	28	1
235	275	28	1
249	275	28	1
233	276	28	1
234	276	28	1
235	276	28	1
237	276	28	2
235	277	28	1
236	278	28	1
237	279	28	1
251	280	28	1
235	281	28	1
248	281	28	2
252	281	28	1
235	282	28	1
238	283	28	1
254	283	28	1
235	284	28	1
238	285	28	1
245	285	28	1
248	285	28	1
232	286	28	1
237	286	28	1
246	286	28	1
247	286	28	1
248	287	28	1
242	288	28	1
243	289	28	1
248	289	28	1
237	290	28	1
240	290	28	1
245	290	28	1
239	291	28	1
241	291	28	1
241	292	28	1
247	292	28	1
248	292	28	1
249	293	28	1
250	293	28	1
241	294	28	1
245	294	28	1
250	294	28	1
225	300	28	1
236	300	28	1
229	255	29	1
235	258	29	1
238	259	29	2
234	260	29	1
183	261	29	1
226	261	29	1
229	261	29	1
230	261	29	1
221	262	29	1
229	262	29	2
226	264	29	2
231	264	29	3
237	264	29	1
215	265	29	1
233	265	29	1
235	265	29	1
197	266	29	1
197	267	29	2
199	267	29	1
231	267	29	1
234	267	29	1
236	267	29	1
249	267	29	1
217	268	29	2
234	268	29	1
236	268	29	1
237	268	29	1
250	268	29	1
193	269	29	2
248	269	29	1
196	270	29	2
230	270	29	1
237	270	29	1
173	271	29	1
204	271	29	1
214	271	29	1
249	271	29	1
232	272	29	1
233	272	29	1
235	272	29	1
241	272	29	1
249	272	29	1
251	272	29	1
238	273	29	1
180	274	29	2
214	274	29	1
234	274	29	1
235	275	29	1
232	276	29	2
237	276	29	1
248	276	29	1
232	277	29	1
238	277	29	1
239	277	29	1
240	277	29	1
204	278	29	1
236	278	29	1
237	278	29	1
244	278	29	1
245	278	29	1
250	278	29	1
236	279	29	1
252	279	29	1
256	279	29	1
234	280	29	1
241	280	29	1
246	280	29	1
247	280	29	1
250	280	29	2
252	280	29	1
254	280	29	2
208	281	29	1
237	281	29	1
206	282	29	1
233	282	29	1
245	282	29	2
249	282	29	1
251	282	29	2
209	283	29	3
236	283	29	1
247	283	29	1
248	283	29	1
251	283	29	2
211	284	29	1
222	284	29	1
234	284	29	1
235	284	29	1
236	284	29	1
241	284	29	1
255	284	29	1
227	285	29	1
242	285	29	1
253	285	29	1
232	286	29	1
234	286	29	1
240	286	29	1
241	286	29	1
242	286	29	1
243	286	29	1
225	287	29	1
245	287	29	1
246	287	29	1
228	288	29	1
233	288	29	1
240	288	29	1
243	288	29	2
245	288	29	1
246	288	29	1
253	288	29	1
228	289	29	1
240	289	29	1
243	289	29	2
247	289	29	1
228	290	29	2
251	291	29	1
225	292	29	1
227	292	29	1
236	292	29	1
250	292	29	1
242	293	29	1
246	293	29	1
252	293	29	1
236	294	29	2
238	294	29	1
244	294	29	2
249	294	29	1
220	295	29	1
240	295	29	1
247	295	29	1
246	296	29	1
240	297	29	1
242	297	29	1
219	298	29	2
239	298	29	1
247	298	29	1
248	298	29	1
222	299	29	1
227	299	29	1
225	300	29	2
235	300	29	1
236	300	29	1
237	300	29	1
240	300	29	1
230	301	29	1
237	304	29	1
237	253	30	1
215	254	30	1
232	254	30	1
229	255	30	1
230	255	30	1
231	256	30	1
190	257	30	1
186	258	30	1
216	259	30	1
220	259	30	1
226	259	30	1
231	259	30	2
237	259	30	1
238	259	30	1
231	260	30	1
245	260	30	1
194	261	30	2
211	261	30	1
216	261	30	1
227	261	30	1
229	261	30	1
231	261	30	1
238	261	30	2
241	261	30	1
244	261	30	1
178	262	30	1
186	262	30	1
187	262	30	1
246	262	30	1
249	262	30	1
211	263	30	1
219	263	30	1
227	263	30	1
233	263	30	1
248	263	30	1
249	263	30	2
188	264	30	1
211	264	30	1
225	264	30	1
226	264	30	1
233	264	30	1
236	264	30	1
239	264	30	1
210	265	30	2
216	265	30	1
224	265	30	1
228	265	30	1
236	265	30	1
238	265	30	2
239	265	30	1
242	265	30	1
188	266	30	1
194	266	30	1
195	266	30	1
213	266	30	1
228	266	30	1
229	266	30	1
233	266	30	1
249	266	30	2
189	267	30	2
199	267	30	1
209	267	30	1
214	267	30	1
225	267	30	1
231	267	30	1
232	267	30	1
236	267	30	1
238	267	30	1
244	267	30	1
172	268	30	1
191	268	30	1
213	268	30	1
214	268	30	1
230	268	30	1
239	268	30	1
241	268	30	1
243	268	30	1
246	268	30	1
248	268	30	1
178	269	30	1
193	269	30	1
198	269	30	2
199	269	30	1
204	269	30	1
213	269	30	1
240	269	30	1
179	270	30	1
181	270	30	1
194	270	30	1
195	270	30	1
200	270	30	1
201	270	30	1
215	270	30	1
216	270	30	1
231	270	30	1
232	270	30	1
233	270	30	1
234	270	30	1
199	271	30	1
225	271	30	1
234	271	30	1
243	271	30	1
244	271	30	1
249	271	30	1
180	272	30	2
216	272	30	2
224	272	30	1
227	272	30	1
233	272	30	1
247	272	30	1
181	273	30	1
183	273	30	2
203	273	30	1
204	273	30	1
206	273	30	1
210	273	30	1
181	274	30	2
209	274	30	1
211	274	30	1
214	274	30	1
233	274	30	1
241	274	30	1
182	275	30	1
185	275	30	1
211	275	30	1
215	275	30	1
238	275	30	1
239	275	30	1
251	275	30	1
186	276	30	1
207	276	30	1
236	276	30	1
246	276	30	1
248	276	30	1
208	277	30	1
235	277	30	1
238	277	30	1
239	277	30	1
249	277	30	1
190	278	30	1
201	278	30	1
203	278	30	1
208	278	30	1
249	278	30	1
235	279	30	1
239	279	30	2
243	279	30	1
254	279	30	1
176	280	30	1
183	280	30	1
206	280	30	1
219	280	30	2
233	280	30	1
236	280	30	1
239	280	30	1
245	280	30	2
246	280	30	1
249	280	30	1
179	281	30	1
181	281	30	1
214	281	30	1
218	281	30	1
239	281	30	1
244	281	30	1
246	281	30	1
249	281	30	1
251	281	30	1
252	281	30	1
187	282	30	1
219	282	30	1
222	282	30	1
240	282	30	1
241	282	30	1
250	282	30	2
254	282	30	1
179	283	30	1
215	283	30	1
220	283	30	1
223	283	30	1
236	283	30	2
240	283	30	2
244	283	30	1
246	283	30	1
248	283	30	2
181	284	30	1
230	284	30	1
250	284	30	1
252	284	30	1
253	284	30	1
226	285	30	1
227	285	30	1
234	285	30	1
248	285	30	1
205	286	30	1
219	286	30	1
222	286	30	2
225	286	30	1
229	286	30	1
239	286	30	1
241	286	30	2
251	286	30	1
255	286	30	1
257	286	30	1
224	287	30	1
238.5	287.5	30.5	1
246	287	30	1
251	287	30	2
221	289	30	2
228	289	30	1
238	289	30	2
247	289	30	1
256	289	30	1
198	290	30	1
220	290	30	2
226	290	30	1
233	290	30	1
236	290	30	1
246	290	30	1
250	290	30	1
257	290	30	2
229	291	30	1
242	291	30	1
246	291	30	1
194	292	30	1
203	292	30	1
213	292	30	1
223	292	30	1
224	292	30	2
227	292	30	1
231	292	30	1
243	292	30	1
257	292	30	1
201	293	30	2
222	293	30	1
234	293	30	1
241	293	30	2
245	293	30	1
247	293	30	1
220	294	30	1
226	294	30	1
235	294	30	1
237	294	30	1
238	294	30	1
246	294	30	1
252	294	30	1
253	294	30	1
220	295	30	2
226	295	30	1
244	295	30	2
251	295	30	1
253	295	30	1
256	295	30	2
226	296	30	1
232	296	30	2
243	296	30	1
244	296	30	1
247	296	30	1
241	297	30	1
250	297	30	2
252	297	30	1
215	298	30	1
246	298	30	1
248	298	30	1
250	298	30	1
236	299	30	1
242	299	30	1
246	299	30	1
252	299	30	1
218	300	30	1
249	300	30	1
223	301	30	1
227	301	30	1
237	301	30	1
241	301	30	2
244	301	30	2
248	301	30	1
251	301	30	1
223	302	30	1
238	303	30	1
239	303	30	1
241	303	30	1
243	303	30	2
244	303	30	1
237	304	30	1
233	305	30	1
236	305	30	2
237	305	30	1
240	305	30	1
238	306	30	1
240	306	30	1
224	250	31	1
226	250	31	1
227	250	31	1
228	253	31	1
233	253	31	1
226	254	31	2
229	254	31	1
235	254	31	1
238	254	31	1
240	255	31	1
216	257	31	1
230	257	31	1
237	257	31	1
239	257	31	1
188	258	31	2
205	258	31	1
227	258	31	1
230	258	31	1
231	258	31	1
206	259	31	1
235	259	31	1
237	259	31	1
242	259	31	1
186	260	31	2
188	260	31	1
195	260	31	2
218	260	31	1
221	260	31	1
227	260	31	1
244	260	31	2
213	261	31	1
228	261	31	1
229	261	31	1
230	261	31	1
235	261	31	1
237	261	31	1
239	261	31	2
194	262	31	2
210	262	31	1
211	262	31	1
216	262	31	1
217	262	31	1
229	262	31	1
235	262	31	1
242	262	31	1
246	262	31	1
249	262	31	1
187	263	31	1
189	263	31	1
216	263	31	1
221	263	31	1
227	263	31	1
228	263	31	1
230	263	31	1
232	263	31	2
234	263	31	1
244	263	31	1
249	263	31	3
178	264	31	1
185	264	31	1
194	264	31	1
217	264	31	1
222	264	31	1
226	264	31	1
228	264	31	1
232	264	31	1
246	264	31	1
248	264	31	2
184	265	31	1
194	265	31	2
214	265	31	2
222	265	31	1
226	265	31	1
229	265	31	1
235	265	31	1
249	265	31	1
187	266	31	1
193	266	31	1
217	266	31	1
220	266	31	2
243	266	31	1
247	266	31	1
227	267	31	1
231	267	31	1
244	267	31	1
195	268	31	1
216	268	31	1
241	268	31	1
173	269	31	1
193	269	31	1
198	269	31	1
204	269	31	1
213	269	31	2
214	269	31	1
215	269	31	1
232	269	31	1
238	269	31	3
248	269	31	1
178	270	31	1
181	270	31	1
185	270	31	1
200	270	31	1
207	270	31	1
212	270	31	1
247	270	31	1
248	270	31	1
178	271	31	1
182	271	31	1
184	271	31	1
216	271	31	1
217	271	31	1
225	271	31	1
233	271	31	1
239	271	31	1
241	271	31	1
249	271	31	1
251	271	31	1
182	272	31	1
184	272	31	1
203	272	31	2
211	272	31	1
213	272	31	1
230	272	31	1
236	272	31	1
240	272	31	1
243	272	31	1
248	272	31	1
251	272	31	1
254	272	31	1
210	273	31	1
229	273	31	1
232	273	31	2
238	273	31	2
240	273	31	1
209	274	31	2
214	274	31	1
216	274	31	2
237	274	31	3
250	274	31	1
235	275	31	2
241	275	31	1
243	275	31	1
184	276	31	1
234	276	31	1
240	276	31	1
241	276	31	2
253	276	31	1
238	277	31	1
239	277	31	1
241	277	31	1
245	277	31	1
249	277	31	1
203	278	31	1
207	278	31	1
236	278	31	1
180	279	31	1
236	279	31	1
237	279	31	1
238	279	31	2
242	279	31	2
245	279	31	1
249	279	31	1
253	279	31	1
254	279	31	1
208	280	31	1
221	280	31	1
237	280	31	1
238	280	31	1
248	280	31	1
249	280	31	1
219	281	31	2
220	281	31	3
224	281	31	1
236	281	31	1
240	281	31	1
244	281	31	1
245	281	31	1
250	281	31	1
179	282	31	1
206	282	31	1
219	282	31	1
225	282	31	2
234	282	31	1
235	282	31	1
241	282	31	1
184	283	31	3
208	283	31	1
218	283	31	1
228	283	31	1
233	283	31	2
235	283	31	1
236	283	31	1
175	284	31	1
176	284	31	2
181	284	31	1
220	284	31	1
222	284	31	2
238	284	31	1
244	284	31	1
248	284	31	1
249	284	31	1
250	284	31	1
173	285	31	1
178	285	31	1
220	285	31	1
231	285	31	1
238	285.5	31.5	1
252	285	31	1
178	286	31	1
180	286	31	1
204	286	31	2
218	286	31	1
227	286	31	1
237	286	31	1
240	286	31	1
244	286	31	1
190	287	31	1
221	287	31	2
222	287	31	1
226	287	31	1
228	287	31	1
229	287	31	1
234	287	31	1
236	287	31	1
239	287	31	1
241	287	31	1
244	287	31	2
250	287	31	1
186	288	31	1
221	288	31	1
225	288	31	2
234	288	31	2
247	288	31	1
249	288	31	1
200	289	31	1
226	289	31	1
228	289	31	1
244	289	31	1
246	289	31	2
247	289	31	1
200	290	31	1
222	290	31	1
232	290	31	2
234	290	31	1
239	290	31	1
243	290	31	1
246	290	31	1
204	291	31	1
230	291	31	1
231	291	31	1
235	291	31	1
245	291	31	1
254	291	31	1
255	291	31	2
198	292	31	1
221	292	31	2
250	292	31	1
254	292	31	1
222	293	31	1
225	293	31	1
229	293	31	1
230	293	31	1
233	293	31	2
238	293	31	1
251	293	31	1
222	294	31	1
232	294	31	1
235	294	31	1
240	294	31	2
243	294	31	1
245	294	31	1
252	294	31	1
202	295	31	2
223	295	31	1
229	295	31	1
233	295	31	3
242	295	31	1
247	295	31	1
249	295	31	1
252	295	31	1
257	295	31	1
223	296	31	2
225	296	31	2
228	296	31	1
229	296	31	1
234	296	31	1
243	296	31	1
253	296	31	1
254	296	31	1
221	297	31	1
224	297	31	1
225	297	31	1
234	297	31	2
241	297	31	1
242	297	31	1
246	297	31	1
248	297	31	1
223	298	31	1
226	298	31	1
232	298	31	1
240	298	31	1
251	298	31	1
252	298	31	1
230	299	31	1
237	299	31	2
240	299	31	1
247	299	31	1
248	299	31	2
251	299	31	1
224	300	31	1
228	300	31	1
230	300	31	1
231	300	31	1
236	300	31	1
248	300	31	1
250	300	31	1
216	301	31	3
232	301	31	1
234	301	31	1
246	301	31	1
248	301	31	1
245	302	31	1
248	302	31	1
234	303	31	1
242	303	31	1
247	303	31	1
236	305	31	1
242	305	31	1
237	307	31	1
226	309	31	1
231	250	32	1
227	251	32	1
217	252	32	3
214	253	32	1
223	253	32	2
224	253	32	1
225	253	32	1
229	253	32	1
215	254	32	1
230	254	32	1
235	254	32	1
236	254	32	1
238	254	32	1
216	255	32	1
235	255	32	2
236	255	32	1
215	256	32	1
236	256	32	1
240	256	32	2
193	257	32	1
195	257	32	1
219	257	32	1
221	257	32	1
229	257	32	1
215	258	32	1
218	258	32	1
231	258	32	1
233	258	32	1
237	258	32	1
188	259	32	1
193	259	32	1
201	259	32	2
211	259	32	1
214	259	32	1
215	259	32	2
219	259	32	1
227	259	32	1
240	259	32	1
242	259	32	1
203	260	32	1
218	260	32	1
234	260	32	1
239	260	32	1
240	260	32	1
215	261	32	1
226	261	32	1
229	261	32	1
230	261	32	1
238	261	32	1
194	262	32	1
198	262	32	2
207	262	32	1
210	262	32	1
216	262	32	1
224	262	32	1
225	262	32	2
238	262	32	1
240	262	32	1
244	262	32	1
246	262	32	2
204	263	32	1
220	263	32	1
222	263	32	1
230	263	32	1
231	263	32	1
235	263	32	1
237	263	32	1
243	263	32	2
186	264	32	1
188	264	32	1
191	264	32	1
199	264	32	1
202	264	32	2
216	264	32	2
221	264	32	2
232	264	32	1
236	264	32	1
238	264	32	1
239	264	32	1
247	264	32	2
186	265	32	1
189	265	32	1
195	265	32	1
204	265	32	1
211	265	32	1
212	265	32	1
218	265	32	1
221	265	32	1
224	265	32	1
229	265	32	1
231	265	32	1
232	265	32	1
235	265	32	1
239	265	32	1
243	265	32	1
186	266	32	2
188	266	32	1
197	266	32	2
218	266	32	1
224	266	32	1
196	267	32	1
197	267	32	1
205	267	32	1
219	267	32	1
221	267	32	1
225	267	32	2
233	267	32	1
248	267	32	1
193	268	32	2
194	268	32	1
216	268	32	2
238	268	32	1
241	268	32	1
246	268	32	2
187	269	32	1
214	269	32	1
223	269	32	1
233	269	32	1
238	269	32	1
239	269	32	1
241	269	32	1
242	269	32	1
174	270	32	1
185	270	32	1
187	270	32	1
195	270	32	1
196	270	32	1
200	270	32	1
201	270	32	1
203	270	32	1
214	270	32	1
244	270	32	1
173	271	32	1
207	271	32	1
211	271	32	1
213	271	32	1
231	271	32	2
235	271	32	2
237	271	32	1
238	271	32	1
240	271	32	1
243	271	32	1
244	271	32	2
246	271	32	2
250	271	32	2
251	271	32	1
182	272	32	1
183	272	32	2
185	272	32	1
203	272	32	1
211	272	32	1
216	272	32	1
226	272	32	1
230	272	32	1
239	272	32	1
246	272	32	1
182	273	32	1
186	273	32	2
206	273	32	1
207	273	32	1
208	273	32	1
209	273	32	1
211	273	32	1
212	273	32	1
214	273	32	1
236	273	32	2
239	273	32	1
242	273	32	1
246	273	32	1
182	274	32	1
184	274	32	1
185	274	32	1
203	274	32	2
204	274	32	2
209	274	32	2
211	274	32	3
236	274	32	1
238	274	32	1
246	274	32	1
181	275	32	1
235	275	32	1
252	275	32	1
174	276	32	1
205	276	32	1
228	276	32	1
238	276	32	1
242	276	32	1
246	276	32	1
249	276	32	1
175	277	32	1
204	277	32	1
205	277	32	1
216	277	32	1
236	277	32	1
242	277	32	1
250	277	32	1
254	277	32	1
204	278	32	1
224	278	32	1
249	278	32	1
250	278	32	1
223	279	32	1
234	279	32	2
205	280	32	2
220	280	32	1
232	280	32	1
241	280	32	1
246	280	32	1
248	280	32	1
249	280	32	1
251	280	32	1
175	281	32	1
181	281	32	1
210	281	32	1
219	281	32	2
223	281	32	1
233	281	32	1
241	281	32	1
245	281	32	1
173	282	32	1
204	282	32	1
224	282	32	1
233	282	32	1
248	282	32	1
251	282	32	1
173	283	32	1
175	283	32	1
176	283	32	1
239	283	32	1
241	283	32	1
242	283	32	1
253	283	32	2
205	284	32	1
208	284	32	1
219	284	32	1
234	284	32	1
237	284	32	2
242	284	32	3
245	284	32	2
248	284	32	1
251	284	32	1
254	284	32	1
176	285	32	1
179	285	32	1
180	285	32	1
220	285	32	2
241	285	32	1
175	286	32	1
180	286	32	1
222	286	32	1
228	286	32	1
229	286	32	2
231	286	32	1
236	286	32	1
237	286	32	1
240	286	32	2
248	286	32	1
252	286	32	1
256	286	32	1
219	287	32	1
220	287	32	1
241	287	32	1
243	287	32	1
249	287	32	1
254	287	32	1
203	288	32	1
220	288	32	3
229	288	32	1
231	288	32	1
239	288	32	1
243	288	32	1
258	288	32	1
229	289	32	1
231	289	32	1
233	289	32	1
234	289	32	1
235	289	32	1
238	289	32	1
256	289	32	1
187	290	32	2
220	290	32	1
221	290	32	1
230	290	32	1
232	290	32	1
236	290	32	1
247	290	32	2
186	291	32	1
198	291	32	1
223	291	32	2
224	291	32	1
238	291	32	1
243	291	32	1
245	291	32	1
246	291	32	1
247	291	32	1
203	292	32	1
222	292	32	1
233	292	32	1
236.75	292.75	33	1
238	292	32	1
257	292	32	1
179	293	32	2
199	293	32	1
200	293	32	1
218	293	32	1
224	293	32	1
233	293	32	1
236	293	32	1
237	293	32	1
204	294	32	1
233	294	32	1
253	294	32	1
256	294	32	1
192	295	32	1
217	295	32	1
220	295	32	1
228	295	32	1
230	295	32	1
231	295	32	2
247	295	32	1
250	295	32	1
253	295	32	1
226	296	32	1
230	296	32	1
243	296	32	1
250	296	32	1
251	296	32	1
252	296	32	1
226	297	32	1
230	297	32	1
233	297	32	1
246	297	32	1
232	298	32	1
233	298	32	1
237	298	32	1
241	298	32	1
253	298	32	1
197	299	32	1
226	299	32	1
228	299	32	1
241	299	32	1
243	299	32	1
249	299	32	1
197	300	32	1
228	300	32	1
246	300	32	2
247	300	32	1
224	301	32	1
231	301	32	1
235	301	32	1
236	301	32	1
243	301	32	1
245	301	32	1
246	301	32	1
248	301	32	1
230	302	32	1
234	302	32	1
236	302	32	1
247	302	32	1
249	302	32	1
223	303	32	1
226	303	32	1
234	303	32	1
245	303	32	1
231	304	32	1
235	304	32	1
243	304	32	1
226	305	32	1
208	306	32	1
234	307	32	1
237	307	32	1
221	308	32	1
229	308	32	1
224	309	32	1
225	309	32	3
228	309	32	1
232	309	32	1
234	309	32	1
235	309	32	1
230	310	32	1
230	313	32	1
232	249	33	1
228	250	33	1
226	252	33	1
227	252	33	2
229	252	33	1
231	252	33	1
224	253	33	1
229	253	33	2
231	254	33	1
235	254	33	1
217	255	33	1
231	255	33	1
237	255	33	1
222	256	33	1
215	257	33	1
216	257	33	1
219	257	33	1
217	258	33	1
223	258	33	1
232	258	33	1
233	258	33	2
239	258	33	2
194	259	33	2
218	259	33	1
222	259	33	1
223	259	33	1
226	259	33	1
231	259	33	1
246	259	33	2
215	260	33	1
220	260	33	1
230	260	33	1
231	260	33	1
237	260	33	1
243	260	33	2
246	260	33	1
193	261	33	2
195	261	33	1
218	261	33	2
232	261	33	1
236	261	33	1
237	261	33	2
238	261	33	1
244	261	33	1
245	261	33	1
192	262	33	2
196	262	33	1
211	262	33	1
226	262	33	1
231	262	33	2
236	262	33	1
238	262	33	1
239	262	33	2
246	262	33	1
249	262	33	2
185	263	33	1
189	263	33	1
190	263	33	1
191	263	33	1
193	263	33	1
199	263	33	1
211	263	33	1
214	263	33	1
222	263	33	1
