x	y	z	Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells
236	274	31	1
240	274	31	1
250	274	31	1
229	275	31	1
231	275	31	1
181	276	31	1
205	276	31	2
236	276	31	1
243	276	31	1
252	276	31	1
253	276	31	1
204	277	31	1
237	277	31	2
240	277	31	1
203	278	31	1
204	278	31	1
205	278	31	1
240	278	31	1
175	279	31	1
234	279	31	1
238	279	31	1
219	280	31	1
241	280	31	1
246	280	31	1
247	280	31	1
206	281	31	1
210	281	31	1
222	281	31	1
224	281	31	1
234	281	31	1
243	281	31	1
248	281	31	1
181	282	31	2
223	282	31	1
240	282	31	1
249	282	31	1
250	282	31	1
252	282	31	1
253	282	31	2
256	282	31	1
179	283	31	1
208	283	31	1
221	283	31	1
228	283	31	1
233	283	31	1
234	283	31	1
240	283	31	2
181	284	31	1
220	284	31	1
250	284	31	1
173	285	31	2
183	285	31	1
234	285	31	1
235	285	31	1
251	285	31	2
220	286	31	1
222	286	31	1
225	286	31	1
229	286	31	1
240	286	31	1
244	286	31	1
246	286	31	1
221	287	31	1
251	287	31	1
256	287	31	1
230	288	31	1
231	288	31	1
234	288	31	1
241	288	31	1
242	288	31	1
245	288	31	1
249	288	31	1
200	289	31	1
221	289	31	1
225	289	31	1
227	289	31	1
232	289	31	1
235	289	31	1
245	289	31	1
252	289	31	1
254	289	31	1
200	290	31	1
226	290	31	2
227	290	31	1
230	290	31	1
232	290	31	2
239	290	31	2
243	290	31	1
228	291	31	1
237	291	31	1
241	291	31	1
198	292	31	2
222	292	31	2
242	292	31	1
198	293	31	1
221	293	31	2
246	293	31	1
230	294	31	1
232	294	31	1
233	294	31	1
237	294	31	1
241	294	31	1
242	294	31	1
245	294	31	1
246	294	31	1
252	294	31	1
223	295	31	1
226	295	31	1
228	295	31	2
240	295	31	1
243	295	31	1
252	295	31	2
223	296	31	1
229	296	31	1
234	296	31	1
235	296	31	1
242	296	31	1
243	296	31	1
225	297	31	2
246	297	31	1
223	298	31	1
226	298	31	1
229	298	31	1
235	298	31	1
240	298	31	1
247	298	31	1
249	298	31	1
232	299	31	1
243	299	31	1
248	299	31	1
223	300	31	1
229	300	31	1
231	300	31	1
232	300	31	1
241	300	31	1
246	300	31	1
216	301	31	1
233	301	31	2
246	301	31	1
248	301	31	2
224	302	31	1
231	302	31	1
240	302	31	1
246	302	31	1
224	303	31	1
231	303	31	1
245	303	31	1
237	304	31	1
244	304	31	1
223	305	31	1
238	305	31	1
236	306	31	1
223	307	31	1
224	307	31	2
234	307	31	1
228	251	32	2
214	252	32	2
217	252	32	2
235	252	32	2
216	253	32	1
217	253	32	1
221	253	32	1
232	253	32	1
240	253	32	1
216	254	32	1
236	254	32	1
188	255	32	1
223	255	32	1
224	255	32	1
237	255	32	1
177	256	32	1
215	256	32	1
219	256	32	1
227	256	32	1
229	256	32	1
232	256	32	1
236	256	32	1
208	257	32	1
229	257	32	1
230	257	32	1
232	257	32	1
190	258	32	2
215	258	32	1
217	258	32	1
220	258	32	1
226	258	32	3
240	258	32	1
207	259	32	1
213	259	32	1
220	259	32	1
242	259	32	1
243	259	32	1
214	260	32	1
218	260	32	1
237	260	32	1
210	261	32	1
212	261	32	2
219	261	32	1
224	261	32	1
228	261	32	2
231	261	32	1
244	261	32	1
245	261	32	1
194	262	32	1
197	262	32	2
215.5	262.5	32.5	1
218	262	32	1
231	262	32	1
243	262	32	3
193	263	32	1
221	263	32	1
225	263	32	1
230	263	32	1
231	263	32	1
237	263	32	1
243	263	32	1
249	263	32	1
251	263	32	1
217	264	32	1
222	264	32	1
224	264	32	1
238	264	32	1
244	264	32	1
245	264	32	1
184	265	32	1
198	265	32	1
204	265	32	1
218	265	32	1
221	265	32	1
222	265	32	1
229	265	32	1
235	265	32	1
203	266	32	1
224	266	32	1
230	266	32	1
232	266	32	1
237	266	32	1
238	266	32	1
240	266	32	1
249	266	32	1
192	267	32	1
205	267	32	1
208	267	32	1
209	267	32	1
216	267	32	1
221	267	32	1
222	267	32	1
225	267	32	1
229	267	32	1
212	268	32	2
224	268	32	1
241	268	32	2
252	268	32	1
180	269	32	1
181	269	32	1
196	269	32	1
214	269	32	2
218	269	32	1
223	269	32	1
233	269	32	2
243	269	32	1
250	269	32	2
252	269	32	2
197	270	32	1
200	270	32	1
201	270	32	1
207	270	32	1
214	270	32	1
233	270	32	1
173	271	32	1
183	271	32	1
184	271	32	2
186	271	32	1
196	271	32	1
209	271	32	1
212	271	32	1
216	271	32	1
231	271	32	1
244	271	32	1
249	271	32	1
182	272	32	2
184	272	32	1
185	272	32	1
200	272	32	1
207	272	32	1
226	272	32	1
244	272	32	1
246	272	32	1
174	273	32	1
201	273	32	1
207	273	32	1
211	273	32	1
213	273	32	1
214	273	32	1
235	273	32	1
174	274	32	1
183	274	32	1
202	274	32	1
203	274	32	1
233	274	32	1
238	274	32	1
241	274	32	1
252	274	32	1
181	275	32	1
210	275	32	1
212	275	32	1
235	275	32	1
237	275	32	1
249	275	32	1
174	276	32	2
175	276	32	2
184	276	32	1
236	276	32	1
239	276	32	1
205	277	32	3
216	277	32	1
232	277	32	1
238	277	32	1
242	277	32	1
247	277	32	1
175	278	32	1
203	278	32	1
206	278	32	1
244	278	32	1
245	278	32	1
249	278	32	1
178	279	32	2
179	279	32	1
205	279	32	1
219	279	32	1
236	279	32	2
240	279	32	1
255	279	32	1
176	280	32	1
217	280	32	2
223	280	32	1
229	280	32	2
245	280	32	2
248	280	32	1
233	281	32	1
237	281	32	2
240	281	32	1
243	281	32	1
244	281	32	1
173	282	32	1
178	282	32	1
233	282	32	1
241	282	32	1
245	282	32	1
247	282	32	1
254	282	32	1
181	283	32	1
221	283	32	1
222	283	32	1
223	283	32	1
241	283	32	1
242	283	32	1
244	283	32	1
179	284	32	1
184	284	32	1
220	284	32	1
225	284	32	1
244	284	32	1
248	284	32	3
254	284	32	1
176	285	32	1
180	285	32	1
205	285	32	1
223	285	32	1
232	285	32	2
238	285	32	2
244	285	32	1
252	285	32	1
174	286	32	1
177	286	32	1
180	286	32	1
183	286	32	1
207	286	32	1
221	286	32	1
222	286	32	1
223	286	32	1
228	286	32	1
231	286	32	1
248	286	32	1
250	286	32	1
254	286	32	1
231	287	32	1
234	287	32	1
236.5	287.5	32.5	1
245	287	32	1
201	288	32	1
222	288	32	1
223	288	32	1
226	288	32	1
227	288	32	1
236	288	32	1
240	288	32	1
246	288	32	1
187	289	32	1
201	289	32	1
234	289	32	1
244	289	32	1
200	290	32	1
222	290	32	1
224	290	32	1
231	290	32	1
234	290	32	1
237	290	32	1
241	290	32	1
250	290	32	1
253	290	32	1
255	290	32	1
186	291	32	1
200	291	32	1
222	291	32	1
233.333333333333	291.333333333333	33	1
242	291	32	1
245	291	32	1
246	291	32	1
197	292	32	1
223	292	32	1
227	292	32	1
228	292	32	1
233	292	32	1
246	292	32	1
247	292	32	1
249	292	32	1
250	292	32	1
257	292	32	1
197	293	32	1
199	293	32	1
216	293	32	1
220	293	32	1
228	293	32	1
229	293	32	1
248	293	32	1
256	293	32	1
199	294	32	1
202	294	32	1
204	294	32	1
227	294	32	1
242	294	32	2
247	294	32	1
256	294	32	1
