x	y	z	Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells
228	295	32	1
232	295	32	2
236	295	32	1
244	295	32	1
245	295	32	2
250	295	32	1
200	296	32	1
229	296	32	2
231	296	32	1
233	296	32	1
234	296	32	1
237	296	32	2
247	296	32	1
255	296	32	1
199	297	32	2
225	297	32	1
227	297	32	1
241	297	32	1
197	298	32	1
199	298	32	1
230	298	32	1
236	298	32	1
238	298	32	1
239	298	32	1
247	298	32	1
197	299	32	1
227	299	32	1
240	299	32	1
244	299	32	1
247	299	32	1
248	299	32	1
225	300	32	1
232	300	32	1
236	300	32	1
237	300	32	2
240	300	32	1
247	300	32	1
210	301	32	1
232	301	32	1
233	301	32	1
245	301	32	1
246	301	32	1
223	302	32	1
249	302	32	1
207	303	32	1
222	303	32	3
235	303	32	1
242	303	32	1
233	304	32	1
238	304	32	1
241	304	32	1
242	305	32	2
222	306	32	1
236	306	32	1
241	306	32	1
206	307	32	1
221	307	32	1
225	307	32	1
226	307	32	1
223	308	32	1
227	308	32	2
229	308	32	1
235	308	32	1
236	308	32	2
220	309	32	2
235	309	32	1
227	310	32	1
231	310	32	1
225	311	32	1
232	249	33	1
226	251	33	2
231	252	33	1
217	253	33	1
237	253	33	1
241	253	33	2
219	254	33	1
223	254	33	1
239	254	33	1
241	254	33	1
217	255	33	1
223	255	33	1
236	255	33	1
237	255	33	1
227	256	33	1
230	257	33	1
235	257	33	1
239	257	33	3
215	258	33	1
216	258	33	1
220	258	33	2
231	258	33	1
242	258	33	1
217	259	33	1
222	259	33	1
223	259	33	1
229	259	33	1
231	259	33	1
232	259	33	1
237	259	33	1
246	259	33	1
223	260	33	1
230	260	33	1
231	260	33	1
238	260	33	1
209	261	33	1
216	261	33	1
219	261	33	1
220	261	33	1
222	261	33	1
224	261	33	2
225	261	33	1
239	261	33	1
244	261	33	1
214	262	33	1
224	262	33	1
228	262	33	1
230	262	33	1
240	262	33	1
242	262	33	1
183	263	33	1
194	263	33	1
198	263	33	1
222	263	33	1
228	263	33	1
243	263	33	1
248	263	33	1
249	263	33	1
251	263	33	1
187	264	33	1
195	264	33	1
217	264	33	1
220	264	33	1
226	264	33	1
237	264	33	1
238	264	33	1
246	264	33	1
247	264	33	1
250	264	33	1
194	265	33	1
210	265	33	2
233	265	33	1
235	265	33	1
239	265	33	1
244	265	33	2
248	265	33	1
251	265	33	1
190	266	33	1
191	266	33	1
196	266	33	1
208	266	33	1
222	266	33	1
224	266	33	1
183	267	33	1
193	267	33	1
197	267	33	1
210	267	33	1
189	268	33	1
191	268	33	1
207	268	33	1
211	268	33	1
212	268	33	1
213	268	33	1
216	268	33	1
218	268	33	1
219	268	33	1
220	268	33	1
231	268	33	1
243	268	33	1
245	268	33	1
250	268	33	1
252	268	33	1
184	269	33	2
188	269	33	1
196	269	33	1
216	269	33	1
224	269	33	1
227	269	33	1
241	269	33	2
246	269	33	1
183	270	33	1
185	270	33	1
188	270	33	1
198	270	33	1
210	270	33	1
212	270	33	1
231	270	33	1
244	270	33	1
251	270	33	2
180	271	33	2
210	271	33	1
224	271	33	1
225	271	33	2
235	271	33	1
247	271	33	1
173	272	33	1
176	272	33	1
204	272	33	1
208	272	33	1
225	272	33	1
231	272	33	2
233	272	33	1
239	272	33	1
241	272	33	1
244	272	33	1
176	273	33	1
183	273	33	1
184	273	33	4
186	273	33	1
204	273	33	1
209	273	33	1
211	273	33	1
215	273	33	1
230	273	33	1
235	273	33	1
238	273	33	1
240	273	33	1
241	273	33	1
247	273	33	2
249	273	33	1
169	274	33	1
185	274	33	1
205	274	33	1
211	274	33	1
217	274	33	1
232	274	33	2
233	274	33	1
239	274	33	1
245	274	33	1
175	275	33	1
186	275	33	1
206	275	33	1
210	275	33	1
211	275	33	1
212	275	33	1
227	275	33	1
251	275	33	1
215	276	33	1
240	276	33	1
241	276	33	1
242	276	33	1
244	276	33	1
178	277	33	1
202	277	33	1
206	277	33	1
210	277	33	1
216	277	33	1
224	277	33	1
207	278	33	1
223	278	33	1
238	278	33	1
239	278	33	1
240	278	33	1
246	278	33	1
231	279	33	1
234	279	33	1
243	279	33	1
244	279	33	2
187	280	33	1
206	280	33	1
207	280	33	1
208	280	33	1
232	280	33	1
176	281	33	2
180	281	33	1
206	281	33	1
207	281	33	1
217	281	33	1
224	281	33	1
232	281	33	1
239	281	33	1
177	282	33	1
185	282	33	1
209	282	33	1
212	282	33	1
222	282	33	1
223	282	33	1
226	282	33	1
234	282	33	1
244	282	33	1
245	282	33	1
253	282	33	1
204	283	33	1
207	283	33	1
215	283	33	2
218	283	33	1
225	283	33	1
226	283	33	1
236	283	33	1
247	283	33	1
250	283	33	1
184	284	33	1
186	284	33	1
220	284	33	1
224	284	33	1
225	284	33	1
248	284	33	1
249	284	33	1
252	284	33	1
175	285	33	1
178	285	33	1
222	285	33	1
227	285	33	2
228	285	33	1
234	285	33	1
236	285	33	1
247	285	33	2
221	286	33	2
243	286	33	1
246	286	33	1
208	287	33	1
243	287	33	1
246	287	33	2
186	288	33	1
187	288	33	1
233	288	33	1
236	288	33	1
248	288	33	1
255	288	33	1
257	288	33	1
200	289	33	1
205	289	33	1
237	289	33	1
245	289	33	1
249	289	33	1
230	290	33	1
236	290	33	1
238	290	33	1
239	290	33	1
247	290	33	1
257	290	33	1
223	291	33	1
229	291	33	1
241	291	33	1
248	291	33	1
197	292	33	1
200	292	33	2
221	292	33	1
233	292	33	1
247	292	33	1
