x	y	z	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks
178	266	29	1
195	266	29	1
197	266	29	2
232	266	29	1
192	267	29	1
193	267	29	1
232	267	29	1
234	267	29	1
249	267	29	1
194	268	29	1
234	268	29	2
235	269	29	1
237	269	29	1
200	270	29	1
215	270	29	1
227	270	29	1
235	270	29	1
250	270	29	1
182	271	29	2
204	271	29	2
229	271	29	1
237	271	29	1
241	271	29	1
211	272	29	1
238	272	29	1
182	273	29	1
207	273	29	1
238	273	29	1
213	274	29	1
235	274	29	3
238	274	29	1
239	274	29	1
240	274	29	1
247	274	29	1
184	275	29	1
237	275	29	1
242	275	29	1
204	276	29	1
205	276	29	1
228	276	29	1
234	276	29	1
236	276	29	1
237	276	29	1
252	276	29	1
232	277	29	2
234	277	29	1
236	277	29	2
238	277	29	1
239	277	29	2
240	277	29	3
250	277	29	1
251	277	29	1
204	278	29	1
235	278	29	1
236	278	29	1
245	278	29	1
247	278	29	3
206	279	29	1
235	279	29	1
238	279	29	1
246	279	29	1
249	279	29	1
254	279	29	2
205	280	29	1
238	280	29	3
241	280	29	1
247	280	29	1
251	280	29	2
252	280	29	1
254	280	29	1
208	281	29	1
233	281	29	1
237	281	29	1
238	281	29	4
245	281	29	1
246	281	29	1
241	282	29	1
244	282	29	2
245	282	29	1
246	282	29	1
250	282	29	1
209	283	29	1
234	283	29	1
238	283	29	1
241	283	29	1
246	283	29	1
247	283	29	1
248	283	29	1
232	284	29	1
235	284	29	2
237	284	29	1
240	284	29	2
241	284	29	1
242	284	29	1
244	284	29	2
246	284	29	1
249	284	29	1
252	284	29	2
226	285	29	2
240	285	29	1
241	285	29	1
247	285	29	2
254	285	29	1
211	286	29	1
232	286	29	1
233	286	29	1
236	286	29	1
252	286	29	1
226	287	29	1
231	287	29	1
234	287	29	3
226	288	29	1
234	288	29	1
235	288	29	1
242	288	29	1
249	288	29	1
224	289	29	1
227	289	29	1
234	289	29	1
235	289	29	1
236	289	29	1
243	289	29	1
245	289	29	1
250	289	29	1
254	289	29	1
222	290	29	1
224	290	29	1
230	290	29	1
238	290	29	1
240	290	29	2
243	290	29	1
246	290	29	1
222	291	29	1
238	291	29	1
245	291	29	1
249	291	29	1
222	292	29	2
243	292	29	1
257	292	29	1
225	293	29	1
227	293	29	1
239	293	29	1
242	293	29	1
247	293	29	1
248	293	29	1
253	293	29	1
236	294	29	2
245	294	29	1
220	295	29	1
221	295	29	1
244	295	29	2
247	295	29	1
239	296	29	1
246	296	29	1
227	297	29	1
242	297	29	1
237	298	29	1
242	298	29	2
222	299	29	1
226	299	29	1
240	299	29	1
221	300	29	1
226	300	29	1
236	300	29	1
221	301	29	1
223	301	29	1
224	301	29	1
227	301	29	1
230	301	29	2
224	302	29	1
240	303	29	2
237	304	29	1
215	252	30	1
228	253	30	1
232	254	30	1
191	255	30	1
215	255	30	1
234	255	30	1
236	255	30	1
232	256	30	1
236	256	30	1
229	257	30	1
236	257	30	1
181	258	30	1
227	258	30	1
228	258	30	1
216	259	30	1
219	259	30	1
222	259	30	1
229	259	30	1
238	259	30	1
196	260	30	1
206	260	30	2
225	260	30	1
226	260	30	1
228	260	30	1
240	260	30	1
245	260	30	1
187	261	30	1
208	261	30	2
216	261	30	1
217	261	30	1
219	261	30	1
236	261	30	3
241	261	30	1
249	261	30	1
178	262	30	1
186	262	30	1
206	262	30	1
218	262	30	1
220	262	30	1
221	262	30	1
233	262	30	3
240	262	30	2
186	263	30	1
222	263	30	1
228	263	30	1
240	263	30	1
246	263	30	1
247	263	30	1
211	264	30	1
227	264	30	1
228	264	30	1
232	264	30	1
241	264	30	1
250	264	30	3
200	265	30	1
211	265	30	1
213	265	30	1
229	265	30	1
239	265	30	1
244	265	30	2
195	266	30	1
233	266	30	1
238	266	30	1
241	266	30	1
247	266	30	1
249	266	30	2
176	267	30	2
182	267	30	2
191	267	30	1
192	267	30	1
193	267	30	1
198	267	30	1
199	267	30	1
