x	y	z	Activation of gene expression by SREBF (SREBP)
249	275	32	1
250	275	32	1
252	275	32	1
184	276	32	1
204	276	32	1
228	276	32	1
235	276	32	1
236	276	32	1
249	276	32	1
176	277	32	1
205	277	32	1
210	277	32	1
214	277	32	1
224	277	32	1
244	277	32	1
247	277	32	1
250	277	32	1
175	278	32	1
203	278	32	1
206	278	32	2
224	278	32	1
225	278	32	1
234	278	32	1
237	278	32	1
246	278	32	1
250	278	32	2
175	279	32	1
179	279	32	1
205	279	32	1
207	279	32	1
214	279	32	1
234	279	32	1
237	279	32	1
244	279	32	1
173	280	32	1
174	280	32	1
175	280	32	1
229	280	32	1
237	280	32	1
246	280	32	1
248	280	32	1
249	280	32	1
176	281	32	1
179	281	32	1
210	281	32	1
217	281	32	2
219	281	32	1
231	281	32	1
232	281	32	1
237	281	32	1
239	281	32	1
240	281	32	2
243	281	32	1
248	281	32	1
250	281	32	1
173	282	32	1
174	282	32	1
231	282	32	1
240	282	32	1
242	282	32	1
246	282	32	1
248	282	32	2
173	283	32	1
175	283	32	1
178	283	32	1
207	283	32	1
226	283	32	1
230	283	32	1
236	283	32	1
245	283	32	1
246	283	32	1
248	283	32	1
253	283	32	1
254	283	32	2
176	284	32	1
177	284	32	1
181	284	32	1
186	284	32	1
205	284	32	2
206	284	32	1
209	284	32	1
220	284	32	1
225	284	32	1
229	284	32	2
236	284	32	1
237	284	32	1
240	284	32	1
241	284	32	1
251	284	32	3
182	285	32	2
204	285	32	1
208	285	32	2
215	285	32	1
220	285	32	1
222	285	32	1
230	285	32	1
235	285	32	1
236	285	32	2
245	285	32	1
249	285	32	1
254	285	32	1
255	285	32	1
174	286	32	1
177	286	32	1
219	286	32	1
236	286	32	1
246	286	32	1
249	286	32	2
252	286	32	2
256	286	32	1
176	287	32	2
207	287	32	1
208	287	32	1
219	287	32	1
221	287	32	1
222	287	32	1
228	287	32	2
231	287	32	1
234	287	32	2
238	287	32	1
242	287	32	1
244	287	32	1
246	287	32	1
255	287	32	1
256	287	32	2
201	288	32	1
223	288	32	1
226	288	32	2
227	288	32	1
229	288	32	2
232	288	32	1
234	288	32	1
239	288	32	1
240	288	32	1
244	288	32	1
245	288	32	1
248	288	32	2
253	288	32	1
200	289	32	1
201	289	32	1
224	289	32	1
227	289	32	1
237	289	32	1
242	289	32	1
256	289	32	1
185	290	32	1
200	290	32	1
206	290	32	1
224	290	32	1
230	290	32	1
233	290	32	1
234	290	32	1
236	290	32	1
239	290	32	1
243	290	32	1
248	290	32	1
252	290	32	1
253	290	32	1
255	290	32	1
198	291	32	1
224	291	32	1
229	291	32	1
233.333333333333	291.333333333333	33	1
241	291	32	1
248	291	32	1
254	291	32	1
198	292	32	1
199	292	32	1
201	292	32	2
221	292	32	1
223	292	32	1
224	292	32	1
227	292	32	1
236.75	292.75	33	1
247	292	32	1
252	292	32	2
254	292	32	1
256	292	32	1
179	293	32	1
199	293	32	2
224	293	32	1
227	293	32	1
232	293	32	1
237	293	32	2
245	293	32	1
247	293	32	1
251	293	32	1
197	294	32	2
202	294	32	1
223	294	32	1
231	294	32	1
233	294	32	2
236	294	32	2
251	294	32	1
253	294	32	1
218	295	32	1
232	295	32	1
236	295	32	2
251	295	32	1
200	296	32	1
226	296	32	2
230	296	32	1
234	296	32	3
245	296	32	1
252	296	32	1
199	297	32	1
221	297	32	2
225	297	32	1
229	297	32	1
234	297	32	1
244	297	32	1
247	297	32	1
251	297	32	2
252	297	32	1
254	297	32	1
195	298	32	1
198	298	32	1
227	298	32	1
228	298	32	1
233	298	32	1
234	298	32	1
239	298	32	1
253	298	32	1
227	299	32	1
228	299	32	2
242	299	32	1
244	299	32	1
225	300	32	1
232	300	32	1
237	300	32	1
247	300	32	1
248	300	32	1
224	301	32	1
229	301	32	1
231	301	32	1
237	301	32	1
245	301	32	1
246	301	32	1
248	301	32	1
224	302	32	1
229	302	32	2
236	302	32	1
238	302	32	1
241	302	32	2
243	302	32	1
245	302	32	1
247	302	32	1
223	303	32	1
226	303	32	1
232	303	32	1
239	303	32	2
217	304	32	1
220	304	32	1
233	304	32	1
237	304	32	1
243	304	32	2
245	304	32	1
235	305	32	1
237	305	32	1
230	306	32	1
233	306	32	3
236	306	32	1
242	306	32	1
225	307	32	1
236	307	32	2
220	308	32	2
221	308	32	1
223	308	32	1
227	308	32	1
229	308	32	1
235	308	32	1
228	309	32	1
234	309	32	1
227	310	32	1
229	310	32	1
234	311	32	1
229	312	32	1
230	313	32	1
228	249	33	1
232	249	33	1
228	250	33	2
223	252	33	2
229	252	33	2
231	252	33	1
217	253	33	2
225	253	33	1
229	253	33	1
232	253	33	1
241	253	33	1
217	254	33	3
220	254	33	1
232	254	33	1
239	254	33	1
240	254	33	2
226	255	33	1
231	255	33	1
235	255	33	1
215	256	33	1
219	257	33	3
220	257	33	3
221	257	33	2
222	257	33	2
224	257	33	1
227	257	33	1
230	257	33	3
215	258	33	1
216	258	33	1
218	258	33	1
219	258	33	2
226	258	33	1
230	258	33	2
231	258	33	1
234	258	33	1
235	258	33	1
242	258	33	1
244	258	33	1
215	259	33	1
216	259	33	1
220	259	33	1
222	259	33	1
223	259	33	1
224	259	33	1
227	259	33	1
228	259	33	1
233	259	33	1
235	259	33	1
239	259	33	1
243	259	33	1
246	259	33	1
213	260	33	1
215	260	33	2
217	260	33	1
219	260	33	1
230	260	33	1
239	260	33	1
241	260	33	1
205	261	33	1
208	261	33	2
216	261	33	1
218	261	33	1
225	261	33	1
227	261	33	1
229	261	33	4
230	261	33	1
232	261	33	1
238	261	33	1
245	261	33	1
191	262	33	1
192	262	33	1
212	262	33	1
214	262	33	1
219	262	33	1
224	262	33	1
226	262	33	1
227	262	33	1
228	262	33	1
240	262	33	2
242	262	33	2
243	262	33	1
246	262	33	1
250	262	33	2
183	263	33	1
185	263	33	1
189	263	33	1
191	263	33	1
211	263	33	1
214	263	33	1
217	263	33	1
218	263	33	1
228	263	33	1
231	263	33	1
233	263	33	1
239	263	33	2
240	263	33	2
243	263	33	1
247	263	33	1
248	263	33	1
251	263	33	1
187	264	33	2
192	264	33	1
199	264	33	1
215	264	33	1
231	264	33	1
238	264	33	1
250	264	33	1
185	265	33	1
188	265	33	1
194	265	33	1
202	265	33	1
207	265	33	2
210	265	33	1
214	265	33	1
217	265	33	1
225	265	33	1
229	265	33	2
247	265	33	1
184	266	33	1
186	266	33	1
189	266	33	1
191	266	33	2
194	266	33	1
204	266	33	1
208	266	33	1
211	266	33	1
213	266	33	1
218	266	33	1
221	266	33	1
228	266	33	1
230	266	33	2
240	266	33	1
194	267	33	1
214	267	33	1
217	267	33	1
219	267	33	1
221	267	33	1
229	267	33	1
231	267	33	2
240	267	33	1
241	267	33	1
183	268	33	1
188	268	33	2
193	268	33	1
196	268	33	1
208	268	33	1
209	268	33	2
210	268	33	1
218	268	33	1
219	268	33	1
220	268	33	1
224	268	33	1
225	268	33	1
243	268	33	1
245	268	33	1
191	269	33	1
201	269	33	1
215	269	33	2
224	269	33	1
227	269	33	1
235	269	33	1
240	269	33	1
243	269	33	1
246	269	33	1
251	269	33	2
178	270	33	1
179	270	33	1
188	270	33	1
198	270	33	1
205	270	33	1
206	270	33	1
212	270	33	2
239	270	33	1
241	270	33	1
245	270	33	1
252	270	33	1
173	271	33	1
175	271	33	2
177	271	33	1
181	271	33	1
185	271	33	1
186	271	33	1
192	271	33	1
204	271	33	1
205	271	33	1
209	271	33	1
224	271	33	1
226	271	33	1
231	271	33	1
235	271	33	1
237	271	33	1
239	271	33	1
241	271	33	1
244	271	33	1
245	271	33	1
246	271	33	2
184	272	33	2
185	272	33	2
186	272	33	1
187	272	33	2
204	272	33	2
208	272	33	1
213	272	33	1
232	272	33	2
234	272	33	1
235	272	33	2
238	272	33	1
241	272	33	1
244	272	33	1
249	272	33	1
251	272	33	1
173	273	33	1
184	273	33	1
190	273	33	2
201	273	33	1
204	273	33	1
205	273	33	1
213	273	33	1
217	273	33	1
226	273	33	2
235	273	33	1
239	273	33	1
243	273	33	1
169	274	33	2
170	274	33	1
174	274	33	2
176	274	33	3
181	274	33	1
185	274	33	1
193	274	33	1
201	274	33	1
203	274	33	1
204	274	33	2
210	274	33	1
211	274	33	1
240	274	33	1
242	274	33	1
250	274	33	1
206	275	33	1
211	275	33	1
214	275	33	2
216	275	33	2
237	275	33	1
239	275	33	1
241	275	33	1
251	275	33	1
176	276	33	1
177	276	33	1
192	276	33	2
205	276	33	1
206	276	33	1
214	276	33	1
239	276	33	1
241	276	33	2
243	276	33	1
174	277	33	1
180	277	33	1
183	277	33	1
208	277	33	1
215	277	33	1
227	277	33	1
236	277	33	1
237	277	33	1
243	277	33	1
176	278	33	1
177	278	33	1
205	278	33	1
209	278	33	1
234	278	33	1
237	278	33	1
239	278	33	1
243	278	33	2
246	278	33	1
175	279	33	1
176	279	33	1
178	279	33	1
181	279	33	1
207	279	33	2
208	279	33	1
210	279	33	1
244	279	33	1
176	280	33	1
177	280	33	2
207	280	33	2
224	280	33	2
229	280	33	1
241	280	33	1
242	280	33	1
249	280	33	1
251	280	33	1
175	281	33	1
178	281	33	1
222	281	33	1
225	281	33	3
249	281	33	1
177	282	33	1
179	282	33	1
205	282	33	1
207	282	33	1
221	282	33	2
224	282	33	1
235	282	33	1
174	283	33	2
183	283	33	1
211	283	33	1
221	283	33	2
226	283	33	1
229	283	33	2
230	283	33	2
232	283	33	1
241	283	33	1
208	284	33	1
233	284	33	3
234	284	33	1
243	284	33	1
246	284	33	1
247	284	33	1
249	284	33	1
175	285	33	1
178	285	33	1
202	285	33	1
222	285	33	1
227	285	33	1
229	285	33	1
232	285	33	1
242	285	33	1
243	285	33	1
245	285	33	1
247	285	33	1
206	286	33	1
211	286	33	1
220	286	33	1
229	286	33	1
241.5	286.5	33.5	1
242	286	33	1
245	286	33	1
252	286	33	1
227	287	33	2
233	287	33	1
235	287	33	1
242	287	33	1
244	287	33	3
251	287	33	1
186	288	33	1
202	288	33	1
220	288	33	1
230	288	33	1
184	289	33	1
186	289	33	1
222	289	33	1
223	289	33	1
224	289	33	1
231	289	33	1
234	289	33	1
241.5	289.5	33.5	1
253	289	33	1
185	290	33	1
207	290	33	1
228	290	33	2
231	290	33	2
238	290	33	1
242	290	33	1
243	290	33	1
246	290	33	1
185	291	33	1
199	291	33	1
223	291	33	1
226	291	33	1
232	291	33	1
237	291	33	1
241	291	33	1
244	291	33	1
245	291	33	1
246	291	33	1
247	291	33	1
183	292	33	1
200	292	33	1
201	292	33	1
221	292	33	1
225	292	33	2
227	292	33	1
229	292	33	1
233	292	33	1
238	292	33	1
242	292	33	1
247	292	33	1
248	292	33	1
253	292	33	1
185	293	33	2
220	293	33	1
223	293	33	1
228	293	33	1
234	293	33	1
235	293	33	1
241	293	33	2
180	294	33	1
195	294	33	2
199	294	33	1
202	294	33	1
204	294	33	2
213	294	33	1
252	294	33	1
197	295	33	1
220	295	33	1
231	295	33	1
233	295	33	2
238	295	33	1
243	295	33	1
248	295	33	1
254	295	33	1
194	296	33	1
198	296	33	1
200	296	33	1
223	296	33	2
228	296	33	1
230	296	33	1
235	296	33	1
241	296	33	1
252	296	33	1
225	297	33	2
227	297	33	1
228	297	33	1
231	297	33	1
232	297	33	1
234	297	33	2
235	297	33	1
245	297	33	1
195	298	33	1
200	298	33	1
228	298	33	2
231	298	33	1
241	298	33	1
244	298	33	1
201	299	33	1
223	299	33	1
230	299	33	1
236	299	33	2
242	299	33	1
243	299	33	1
245	299	33	2
236	300	33	1
246	300	33	1
247	300	33	1
223	301	33	1
225	301	33	2
229	301	33	1
234	301	33	1
241	301	33	1
242	301	33	1
243	301	33	1
249	301	33	2
199	302	33	1
226	302	33	1
229	302	33	1
230	302	33	1
207	303	33	1
222	303	33	1
223	303	33	1
228	303	33	1
233	303	33	1
234	303	33	1
235	303	33	1
236	303	33	1
242	303	33	1
243	303	33	1
227	304	33	1
238	304	33	1
222	305	33	1
233	305	33	1
220	306	33	3
230	306	33	1
231	306	33	1
237	306	33	2
224	307	33	1
233	307	33	1
235	307	33	1
237	308	33	1
239	308	33	1
222	309	33	1
229	309	33	1
233	309	33	1
217	310	33	1
221	310	33	1
223	310	33	1
224	310	33	1
225	310	33	2
238	310	33	1
218	311	33	1
224	311	33	1
228	311	33	1
230	311	33	1
234	311	33	1
236	311	33	1
222	312	33	1
230	313	33	1
232	314	33	2
234	314	33	1
235	314	33	1
228	251	34	1
226	252	34	1
227	252	34	1
229	252	34	2
230	252	34	1
225	253	34	1
226	253	34	2
232	253	34	1
220	255	34	1
230	255	34	1
242	255	34	1
190	256	34	2
218	256	34	1
227	256	34	1
232	256	34	1
216	257	34	1
217	257	34	1
218	257	34	1
219	257	34	1
223	257	34	2
225	257	34	2
228	257	34	1
237	257	34	1
216	258	34	1
222	258	34	1
224	258	34	1
225	258	34	1
227	258	34	1
242	258	34	1
216	259	34	1
223	259	34	1
226	259	34	1
232	259	34	1
234	259	34	2
237	259	34	1
238	259	34	1
242	259	34	2
192	260	34	2
211	260	34	1
214	260	34	1
217	260	34	1
223	260	34	1
226	260	34	2
236	260	34	1
242	260	34	1
215	261	34	1
217	261	34	3
220	261	34	1
223	261	34	1
231	261	34	1
241	261	34	1
244	261	34	1
246	261	34	2
189	262	34	1
192	262	34	1
193	262	34	1
220	262	34	1
226	262	34	1
230	262	34	1
242	262	34	1
243	262	34	1
245	262	34	1
185	263	34	1
189	263	34	1
207	263	34	1
210	263	34	1
213	263	34	1
222	263	34	1
223	263	34	3
228	263	34	2
229	263	34	1
231	263	34	1
234	263	34	1
238	263	34	2
239	263	34	1
250	263	34	1
251	263	34	1
252	263	34	1
193	264	34	1
194	264	34	1
205	264	34	1
206	264	34	2
209	264	34	1
210	264	34	1
213	264	34	1
214	264	34	1
220	264	34	1
222	264	34	1
226	264	34	1
227	264	34	1
228	264	34	1
233	264	34	1
237	264	34	1
249	264	34	2
189	265	34	1
191	265	34	1
193	265	34	1
194	265	34	1
204	265	34	1
205	265	34	2
209	265	34	1
219	265	34	3
220	265	34	2
241	265	34	1
184	266	34	1
186	266	34	1
195	266	34	1
197	266	34	1
221	266	34	2
228	266	34	1
229	266	34	2
230	266	34	2
235	266	34	1
237	266	34	1
242	266	34	3
251	266	34	1
182	267	34	1
189	267	34	1
193	267	34	1
197	267	34	1
215	267	34	1
218	267	34	1
224	267	34	1
232	267	34	1
235	267	34	3
239	267	34	1
242	267	34	1
243	267	34	1
176	268	34	2
194	268	34	1
208	268	34	2
210	268	34	1
215	268	34	1
216	268	34	1
221	268	34	1
240	268	34	2
242	268	34	1
252	268	34	2
171	269	34	1
176	269	34	1
185	269	34	1
189	269	34	1
196	269	34	1
197	269	34	3
198	269	34	1
204	269	34	1
209	269	34	1
212	269	34	1
218	269	34	1
219	269	34	2
220	269	34	1
222	269	34	1
230	269	34	2
235	269	34	1
239	269	34	1
243	269	34	1
248	269	34	2
250	269	34	1
253	269	34	1
184	270	34	1
187	270	34	2
189	270	34	2
192	270	34	1
199	270	34	2
201	270	34	1
203	270	34	1
206	270	34	1
209	270	34	1
216	270	34	2
223	270	34	1
228	270	34	1
244	270	34	2
175	271	34	2
177	271	34	1
178	271	34	1
180	271	34	3
201	271	34	1
213	271	34	1
214	271	34	1
216	271	34	1
218	271	34	1
220	271	34	1
221	271	34	1
226	271	34	1
234	271	34	1
235	271	34	1
237	271	34	1
241	271	34	1
242	271	34	1
245	271	34	1
248	271	34	1
250	271	34	1
176	272	34	1
177	272	34	2
184	272	34	2
186	272	34	2
188	272	34	1
197	272	34	2
203	272	34	1
207	272	34	1
227	272	34	1
229	272	34	2
238	272	34	1
240	272	34	1
241	272	34	2
245	272	34	1
247	272	34	1
248	272	34	1
185	273	34	1
188	273	34	1
203	273	34	1
209	273	34	1
213	273	34	1
231	273	34	1
245	273	34	2
179	274	34	1
186	274	34	1
196	274	34	1
206	274	34	1
211	274	34	1
213	274	34	1
233	274	34	1
237	274	34	1
250	274	34	1
176	275	34	1
183	275	34	2
203	275	34	1
206	275	34	1
213	275	34	1
215	275	34	1
231	275	34	1
238	275	34	2
246	275	34	1
177	276	34	1
180	276	34	1
184	276	34	1
187	276	34	1
202	276	34	1
214	276	34	1
232	276	34	1
237	276	34	1
239	276	34	1
242	276	34	1
243	276	34	1
176	277	34	1
204	277	34	1
211	277	34	2
212	277	34	1
229	277	34	1
245	277	34	1
176	278	34	1
186	278	34	1
202	278	34	1
207	278	34	1
208	278	34	1
211	278	34	1
212	278	34	1
214	278	34	1
226	278	34	2
174	279	34	1
180	279	34	1
203	279	34	1
205	279	34	1
208	279	34	1
214	279	34	1
232	279	34	1
236	279	34	1
237	279	34	2
245	279	34	1
246	279	34	1
175	280	34	1
176	280	34	1
178	280	34	1
209	280	34	2
210	280	34	1
221	280	34	1
233	280	34	1
242	280	34	1
173	281	34	1
175	281	34	1
176	281	34	1
179	281	34	1
180	281	34	1
202	281	34	2
205	281	34	1
210	281	34	1
223	281	34	1
230	281	34	1
232	281	34	1
245	281	34	1
182	282	34	1
190	282	34	1
204	282	34	2
206	282	34	2
220	282	34	1
224	282	34	1
233	282	34	1
234	282	34	1
249	282	34	2
176	283	34	1
206	283	34	1
207	283	34	1
232	283	34	2
233	283	34	1
239	283	34	1
253	283	34	1
185	284	34	1
205	284	34	3
206	284	34	1
207	284	34	1
222	284	34	1
225	284	34	1
231	284	34	1
234	284	34	1
235	284	34	1
238	284	34	1
241	284	34	1
246	284	34	1
249	284	34	1
254	284	34	1
176	285	34	1
205	285	34	2
206	285	34	2
210	285	34	1
211	285	34	1
222	285	34	1
224	285	34	2
226	285	34	2
238	285	34	2
247	285	34	1
176	286	34	1
203	286	34	1
208	286	34	1
209	286	34	1
220	286	34	2
223	286	34	1
226	286	34	1
227	286	34	1
234	286	34	1
247	286	34	1
248	286	34	1
254	286	34	1
255	286	34	1
188	287	34	2
199	287	34	1
208	287	34	1
222	287	34	1
227	287	34	1
231	287	34	1
233	287	34	3
238	287	34	1
239	287	34	1
243	287	34	1
184	288	34	1
187	288	34	2
190	288	34	2
224	288	34	2
226	288	34	1
227	288	34	1
229	288	34	1
237	288	34	1
247	288	34	1
249	288	34	1
255	288	34	1
185	289	34	2
224	289	34	2
233	289	34	1
238	289	34	1
246	289	34	1
248	289	34	1
185	290	34	1
222	290	34	2
225	290	34	1
239	290	34	2
240	290	34	1
243	290	34	2
246	290	34	1
248	290	34	1
253	290	34	1
186	291	34	1
224	291	34	3
229	291	34	1
231	291	34	1
237	291	34	1
241	291	34	1
244	291	34	1
245	291	34	1
248	291	34	1
187	292	34	1
201	292	34	1
202	292	34	1
203	292	34	1
223	292	34	2
226	292	34	1
229	292	34	1
231	292	34	2
233	292	34	1
236	292	34	1
242	292	34	1
190	293	34	1
204	293	34	1
222	293	34	2
227	293	34	1
231	293	34	1
233	293	34	1
235	293	34	2
242	293	34	1
190	294	34	1
197	294	34	1
198	294	34	1
199	294	34	1
201	294	34	1
206	294	34	1
246	294	34	1
179	295	34	1
202	295	34	2
204	295	34	1
218	295	34	1
228	295	34	1
229	295	34	1
240	295	34	1
182	296	34	2
183	296	34	1
199	296	34	1
217	296	34	1
222	296	34	1
225	296	34	2
226	296	34	1
238	296	34	1
244	296	34	1
245	296	34	1
195	297	34	1
200	297	34	1
204	297	34	1
223	297	34	2
229	297	34	1
231	297	34	1
232	297	34	1
235	297	34	1
236	297	34	2
237	297	34	1
239	297	34	1
242	297	34	1
220	298	34	1
224	298	34	1
233	298	34	2
234	298	34	2
237	298	34	1
239	298	34	1
241	298	34	1
242	298	34	1
244	298	34	1
246	298	34	1
248	298	34	1
180	299	34	1
207	299	34	1
227	299	34	1
228	299	34	1
239	299	34	2
224	300	34	1
239	300	34	1
241	300	34	2
227	301	34	1
229	301	34	3
232	301	34	1
233	301	34	1
240	301	34	1
242	301	34	2
245	301	34	1
235	302	34	1
236	302	34	1
243	302	34	1
233	303	34	2
235	303	34	1
236	303	34	1
240	303	34	1
241	303	34	1
243	303	34	1
194	304	34	1
231	304	34	1
235	304	34	2
241	304	34	1
223	305	34	2
229	305	34	2
223	306	34	1
227	306	34	1
228	306	34	1
233	306	34	1
236	306	34	1
237	307	34	2
242	307	34	1
226	308	34	1
227	308	34	1
229	308	34	2
233	308	34	1
236	308	34	1
225	309	34	1
233	309	34	1
234	309	34	1
237	309	34	1
222	310	34	1
228	310	34	1
230	310	34	1
231	310	34	1
232	310	34	2
236	310	34	1
237	310	34	1
238	310	34	1
218	311	34	1
224	311	34	1
227	311	34	1
228	311	34	1
230	311	34	1
233	311	34	1
225	312	34	2
229	312	34	1
237	312	34	2
226	313	34	1
228	313	34	2
231	315	34	1
227	317	34	1
232	317	34	1
235	318	34	1
229	250	35	1
226	251	35	1
223	253	35	1
223	254	35	2
224	254	35	2
225	254	35	2
240	254	35	1
209	255	35	1
218	255	35	1
223	255	35	1
224	255	35	1
229	255	35	1
230	255	35	2
215	256	35	1
221	256	35	2
223	256	35	2
226	256	35	1
229	256	35	2
240	256	35	1
218	257	35	1
221	257	35	1
226	257	35	2
241	257	35	2
223	258	35	1
226	258	35	1
227	258	35	1
232	258	35	1
237	258	35	1
240	258	35	1
242	258	35	1
201	259	35	1
215	259	35	1
217	259	35	1
218	259	35	2
219	259	35	1
221	259	35	1
222	259	35	1
228	259	35	1
231	259	35	1
217	260	35	1
223	260	35	1
226	260	35	1
227	260	35	1
229	260	35	2
236	260	35	3
237	260	35	2
238	260	35	1
240	260	35	1
242	260	35	1
188	261	35	2
208	261	35	1
216	261	35	1
218	261	35	1
222	261	35	1
223	261	35	1
230	261	35	1
240	261	35	1
245	261	35	1
246	261	35	1
207	262	35	1
208	262	35	1
220	262	35	1
222	262	35	1
224	262	35	1
230	262	35	1
232	262	35	1
238	262	35	1
239	262	35	1
243	262	35	1
248	262	35	2
188	263	35	1
189	263	35	2
192	263	35	1
205	263	35	1
209	263	35	1
210	263	35	1
211	263	35	1
216	263	35	1
217	263	35	1
218	263	35	1
224	263	35	1
249	263	35	1
190	264	35	1
191	264	35	1
200	264	35	1
213	264	35	1
216	264	35	1
218	264	35	1
219	264	35	2
223	264	35	1
225	264	35	2
226	264	35	2
228	264	35	1
230	264	35	1
231	264	35	1
234	264	35	1
235	264	35	1
236	264	35	1
184	265	35	1
195	265	35	1
207	265	35	1
209	265	35	2
211	265	35	1
213	265	35	1
217	265	35	1
218	265	35	1
220	265	35	1
221	265	35	1
225	265	35	1
232	265	35	2
233	265	35	1
238	265	35	1
241	265	35	2
247	265	35	1
178	266	35	1
186	266	35	1
196	266	35	1
209	266	35	1
221	266	35	1
226	266	35	1
241	266	35	3
245	266	35	1
246	266	35	1
184	267	35	3
186	267	35	3
194	267	35	1
195	267	35	1
196	267	35	2
216	267	35	1
222	267	35	1
225	267	35	1
228	267	35	1
229	267	35	1
232	267	35	1
233	267	35	1
235	267	35	1
238	267	35	1
177	268	35	2
186	268	35	1
202	268	35	1
207	268	35	1
208	268	35	1
210	268	35	2
213	268	35	1
216	268	35	1
218	268	35	1
225	268	35	1
229	268	35	2
233	268	35	1
240	268	35	1
243	268	35	1
245	268	35	2
178	269	35	2
184	269	35	2
191	269	35	2
194	269	35	1
201	269	35	1
220	269	35	1
222	269	35	1
232	269	35	1
240	269	35	2
172	270	35	1
186	270	35	1
189	270	35	1
191	270	35	1
195	270	35	1
199	270	35	1
214	270	35	1
221	270	35	1
223	270	35	1
236	270	35	1
238	270	35	1
240	270	35	1
243	270	35	1
244	270	35	1
247	270	35	1
171	271	35	1
180	271	35	1
181	271	35	1
187	271	35	1
190	271	35	2
193	271	35	1
194	271	35	1
198	271	35	1
218	271	35	1
233	271	35	1
234	271	35	1
235	271	35	1
240	271	35	1
247	271	35	1
248	271	35	1
249	271	35	1
178	272	35	1
179	272	35	1
184	272	35	2
197	272	35	1
209	272	35	1
211	272	35	1
213	272	35	1
216	272	35	1
231	272	35	1
232	272	35	1
235	272	35	1
241	272	35	1
243	272	35	1
179	273	35	1
208	273	35	1
216	273	35	1
217	273	35	1
227	273	35	2
228	273	35	1
230	273	35	2
231	273	35	1
232	273	35	1
239	273	35	1
245	273	35	1
173	274	35	1
178	274	35	2
183	274	35	2
186	274	35	1
203	274	35	1
207	274	35	1
210	274	35	1
211	274	35	1
212	274	35	1
215	274	35	1
232	274	35	1
233	274	35	1
244	274	35	2
200	275	35	2
205	275	35	1
210	275	35	2
218	275	35	1
225	275	35	1
231	275	35	1
239	275	35	1
243	275	35	1
186	276	35	1
188	276	35	1
203	276	35	1
204	276	35	1
210	276	35	2
211	276	35	1
212	276	35	1
217	276	35	1
230	276	35	1
183	277	35	1
210	277	35	1
211	277	35	3
218	277	35	1
219	277	35	1
224	277	35	1
230	277	35	1
235	277	35	2
244	277	35	1
176	278	35	1
202	278	35	1
213	278	35	1
214	278	35	1
215	278	35	1
222	278	35	2
223	278	35	1
230	278	35	1
235	278	35	2
243	278	35	1
180	279	35	1
194	279	35	1
206	279	35	1
210	279	35	1
222	279	35	1
227	279	35	1
235	279	35	1
236	279	35	1
245	279	35	2
190	280	35	1
207	280	35	2
211	280	35	1
212	280	35	2
221	280	35	1
223	280	35	1
224	280	35	2
233	280	35	1
237	280	35	2
245	280	35	1
248	280	35	1
182	281	35	1
205	281	35	1
206	281	35	2
216	281	35	1
224	281	35	1
229	281	35	1
234	281	35	1
244	281	35	2
245	281	35	1
173	282	35	1
186	282	35	1
210	282	35	1
213	282	35	2
216	282	35	2
223	282	35	1
224	282	35	1
225	282	35	1
229	282	35	1
233	282	35	1
242	282	35	1
244	282	35	1
173	283	35	1
180	283	35	1
181	283	35	1
188	283	35	1
205	283	35	3
207	283	35	1
221	283	35	1
232	283	35	2
233	283	35	1
240	283	35	1
245	283	35	1
247	283	35	1
176	284	35	1
177	284	35	1
181	284	35	3
184	284	35	2
189	284	35	1
200	284	35	1
203	284	35	1
208	284	35	1
209	284	35	1
219	284	35	1
232	284	35	1
233	284	35	1
235	284	35	1
237	284	35	2
238	284	35	1
243	284	35	1
245	284	35	1
178	285	35	1
182	285	35	2
187	285	35	1
203	285	35	1
208	285	35	1
222	285	35	1
226	285	35	1
231	285	35	1
236	285	35	3
243	285	35	1
175	286	35	1
181	286	35	1
185	286	35	1
196	286	35	1
198	286	35	1
200	286	35	1
205	286	35	2
207	286	35	1
208	286	35	2
209	286	35	1
215	286	35	2
221	286	35	1
225	286	35	1
228	286	35	1
231	286	35	1
244	286	35	1
174	287	35	3
182	287	35	1
185	287	35	1
187	287	35	1
198	287	35	1
199	287	35	1
202	287	35	1
203	287	35	1
204	287	35	2
206	287	35	1
221	287	35	1
223	287	35	1
228	287	35	1
233	287	35	1
236	287	35	1
242	287	35	1
186	288	35	2
194	288	35	1
201	288	35	1
205	288	35	1
220	288	35	1
221	288	35	1
222	288	35	1
223	288	35	1
232	288	35	2
237	288	35	1
242	288	35	1
245	288	35	1
176	289	35	1
177	289	35	1
185	289	35	1
186	289	35	1
187	289	35	1
190	289	35	1
193	289	35	1
195	289	35	2
205	289	35	1
225	289	35	2
236	289	35	2
245	289	35	1
247	289	35	1
248	289	35	1
250	289	35	1
187	290	35	1
195	290	35	1
201	290	35	1
203	290	35	1
204	290	35	2
223	290	35	1
238	290	35	2
242	290	35	1
247	290	35	1
248	290	35	1
179	291	35	1
183	291	35	1
185	291	35	1
191	291	35	2
196	291	35	1
198	291	35	1
200	291	35	1
201	291	35	1
206	291	35	1
222	291	35	1
229	291	35	1
230	291	35	1
234	291	35	1
239	291	35	1
242	291	35	1
244	291	35	1
185	292	35	2
187	292	35	1
198	292	35	1
199	292	35	1
201	292	35	1
204	292	35	1
221	292	35	1
223	292	35	1
224	292	35	1
238	292	35	1
245	292	35	1
247	292	35	1
181	293	35	1
198	293	35	1
