x	y	z	STING mediated induction of host immune responses
240	260	29	1
183	261	29	1
226	261	29	1
231	261	29	2
229	262	29	2
178	264	29	1
215	264	29	1
229	264	29	1
232	265	29	1
233	265	29	1
232	266	29	1
245	266	29	1
192	267	29	1
194	267	29	1
196	267	29	1
197	267	29	1
230	267	29	1
231	267	29	1
234	267	29	1
235	267	29	1
236	267	29	1
241	267	29	1
201	268	29	1
226	268	29	1
239	268	29	1
250	268	29	1
180	269	29	1
204	269	29	1
240	269	29	1
198	270	29	1
200	270	29	2
227	270	29	1
238	270	29	1
173	271	29	1
203	271	29	1
216	271	29	1
237	271	29	2
241	271	29	1
211	272	29	1
213	272	29	1
233	272	29	1
235	272	29	1
236	272	29	1
207	273	29	1
180	274	29	1
247	274	29	1
250	274	29	1
206	275	29	1
231	275	29	1
232	275	29	1
242	275	29	1
204	276	29	1
208	276	29	1
236	276	29	1
238	276	29	1
240	276	29	1
248	276	29	1
249	276	29	1
250	276	29	1
234	277	29	1
239	277	29	1
247	277	29	1
250	277	29	1
236	278	29	2
238	278	29	1
234	279	29	1
252	279	29	1
205	280	29	3
233	280	29	1
234	280	29	3
247	280	29	1
249	280	29	1
251	280	29	1
254	280	29	1
214	281	29	2
224	281	29	1
234	281	29	1
238	281	29	1
245	281	29	2
248	281	29	1
249	281	29	1
250	281	29	1
212	282	29	2
244	282	29	1
248	282	29	1
249	282	29	1
251	282	29	1
254	282	29	1
215	283	29	1
231	283	29	1
238	283	29	1
239	283	29	1
244	283	29	2
247	283	29	1
242	284	29	1
252	284	29	1
255	284	29	1
241	285	29	3
244	285	29	2
248	285	29	1
250	285	29	1
232	286	29	1
249	286	29	1
252	286	29	2
226	287	29	1
232	287	29	1
236	287	29	1
245	287	29	1
249	287	29	1
224	288	29	1
235	288	29	1
245	288	29	1
249	288	29	1
228	289	29	1
234	289	29	1
236	289	29	1
226	290	29	1
227	290	29	1
238	290	29	1
245	290	29	1
222	291	29	1
227	292	29	1
236	292	29	1
238	292	29	1
241	292	29	1
242	292	29	1
249	292	29	1
225	293	29	1
242	293	29	1
247	293	29	1
248	293	29	1
249	293	29	1
252	293	29	1
221	294	29	1
236	294	29	1
245	295	29	1
219	296	29	1
246	296	29	2
238	297	29	1
241	297	29	1
215	298	29	1
221	298	29	1
238	298	29	1
221	299	29	1
241	299	29	1
226	300	29	2
235	300	29	2
236	300	29	2
239	300	29	1
247	300	29	2
225	301	29	1
247	301	29	1
236	305	29	1
225	251	30	1
228	253	30	1
215	254	30	1
231	254	30	1
233	254	30	2
238	254	30	1
