x	y	z	CREB1 phosphorylation through the activation of Adenylate Cyclase
244	288	27	3
210	289	27	1
219	289	27	1
222	289	27	1
236	289	27	1
239	289	27	1
246	289	27	1
214	290	27	1
219	290	27	1
224	290	27	1
226	290	27	1
230	290	27	1
233	290	27	1
236	290	27	1
249	290	27	1
251	290	27	1
211	291	27	1
236	291	27	1
237	291	27	1
249	291	27	1
251	291	27	1
252	291	27	1
222	292	27	1
227	292	27	1
229	292	27	1
230	292	27	1
244	292	27	1
249	292	27	1
253	292	27	1
210	293	27	1
221	293	27	1
225	293	27	1
226	293	27	1
227	293	27	1
243	293	27	1
245	293	27	1
211	294	27	1
213	294	27	1
220	294	27	1
231	294	27	2
235	294	27	1
244	294	27	1
250	294	27	1
251	294	27	1
257	294	27	1
239	295	27	1
246	295	27	1
247	295	27	1
250	295	27	1
211	296	27	1
236	296	27	1
236	297	27	1
237	297	27	4
239	297	27	1
248	297	27	1
221	298	27	1
223	298	27	1
226	298	27	1
238	298	27	1
239	298	27	2
230	299	27	1
241	299	27	2
245	299	27	1
246	299	27	1
249	299	27	1
226	300	27	1
227	300	27	1
228	300	27	1
237	300	27	1
240	300	27	2
224	301	27	1
234	301	27	1
237	301	27	1
238	301	27	1
235	304	27	1
238	304	27	1
231	264	28	1
236	267	28	1
235	270	28	1
250	270	28	1
206	272	28	1
236	272	28	1
235	275	28	1
233	276	28	1
237	278	28	1
235	280	28	1
239	280	28	1
241	280	28	1
208	281	28	1
210	281	28	1
234	282	28	1
251	282	28	1
249	283	28	1
248	284	28	2
240	285	28	1
242	285	28	1
244	285	28	2
235	286	28	1
246	286	28	1
247	286	28	2
249	286	28	1
244	287	28	1
251	287	28	1
238	288	28	2
244	288	28	1
228	289	28	1
243	289	28	1
245	289	28	1
247	289	28	1
244	290	28	1
226	291	28	1
237	291	28	1
247	291	28	1
248	291	28	1
250	291	28	1
250	292	28	1
240	294	28	2
245	295	28	1
248	295	28	1
245	297	28	2
240	298	28	1
235	256	29	1
182	257	29	1
182	259	29	1
230	259	29	1
234	260	29	1
226	261	29	2
231	261	29	1
227	262	29	1
230	264	29	1
248	264	29	2
233	265	29	1
229	266	29	1
245	266	29	1
250	266	29	1
230	267	29	1
249	267	29	1
226	268	29	1
250	268	29	1
196	269	29	1
249	269	29	1
178	270	29	1
196	270	29	1
198	270	29	1
214	271	29	1
233	271	29	1
240	271	29	1
211	272	29	1
234	272	29	1
211	273	29	1
225	273	29	1
180	274	29	2
232	274	29	1
235	274	29	1
184	275	29	1
235	275	29	1
242	275	29	1
208	276	29	1
232	276	29	1
241	276	29	1
252	276	29	2
205	277	29	1
234	277	29	1
236	277	29	1
204	278	29	1
237	278	29	2
238	278	29	1
248	279	29	1
249	279	29	1
252	280	29	1
256	280	29	1
237	281	29	1
238	281	29	1
243	281	29	1
251	281	29	1
233	282	29	1
235	282	29	1
241	282	29	1
239	283	29	1
241	283	29	1
245	283	29	1
222	284	29	1
244	284	29	1
250	284	29	1
219	285	29	1
236	285	29	1
240	285	29	1
243	285	29	1
247	285	29	1
250	285	29	1
253	285	29	1
254	285	29	1
241	286	29	1
243	286	29	1
247	286	29	1
252	286	29	2
244	287	29	1
235	288	29	1
236	288	29	1
241	288	29	1
249	288	29	1
235	289	29	1
236	289	29	3
246	289	29	2
250	289	29	1
254	289	29	1
226	290	29	1
228	290	29	1
230	290	29	1
225	291	29	1
239	291	29	1
240	291	29	1
245	291	29	2
247	291	29	1
249	291	29	1
251	291	29	1
225	292	29	1
242	292	29	1
243	292	29	1
248	292	29	1
249	292	29	1
224	293	29	1
225	293	29	1
227	293	29	4
239	293	29	1
246	293	29	1
221	294	29	1
238	294	29	2
248	294	29	2
220	295	29	1
247	295	29	1
239	296	29	2
246	296	29	1
249	296	29	1
240	297	29	1
241	297	29	1
237	298	29	1
248	298	29	1
249	298	29	2
252	299	29	1
236	300	29	1
237	300	29	2
236	301	29	2
236	305	29	1
228	251	30	1
215	252	30	1
228	253	30	2
231	253	30	1
237	253	30	1
232	254	30	1
233	254	30	1
235	254	30	1
215	255	30	2
236	255	30	1
192	257	30	1
229	257	30	1
240	257	30	1
186	258	30	1
215	258	30	1
226	258	30	2
227	258	30	1
228	258	30	1
237	258	30	1
238	258	30	1
209	259	30	1
228	259	30	1
235	259	30	1
186	260	30	1
197	260	30	1
206	260	30	1
212	260	30	2
232	260	30	1
238	260	30	2
239	260	30	2
184	261	30	1
186	261	30	1
196	261	30	1
209	261	30	1
219	261	30	1
224	261	30	1
230	261	30	1
236	261	30	2
241	261	30	1
246	261	30	1
194	262	30	1
209	262	30	1
218	262	30	1
242	262	30	1
246	262	30	1
215	263	30	1
226	263	30	1
242	263	30	1
246	263	30	2
247	263	30	1
249	263	30	1
232	264	30	1
236	264	30	1
240	264	30	1
200	265	30	1
210	265	30	1
212	265	30	1
228	265	30	3
229	265	30	1
230	265	30	3
235	265	30	1
242	265	30	2
247	265	30	1
248	265	30	1
188	266	30	1
193	266	30	1
211	266	30	1
215	266	30	2
226	266	30	2
229	266	30	1
232	266	30	1
249	266	30	2
189	267	30	1
