x	y	z	SLBP independent Processing of Histone Pre-mRNAs
250	287	27	1
237	288	27	1
245	288	27	1
209	289	27	1
235	289	27	2
240	289	27	1
243	289	27	1
222	290	27	1
225	290	27	1
227	290	27	1
227	292	27	1
246	292	27	1
254	292	27	1
218	293	27	1
234	293	27	1
240	293	27	1
243	293	27	1
231	294	27	1
236	294	27	1
218	295	27	1
222	295	27	1
247	295	27	1
248	295	27	1
249	295	27	1
252	295	27	1
221	296	27	1
244	296	27	1
249	296	27	1
245	297	27	1
253	297	27	1
223	298	27	2
215	299	27	1
242	300	27	1
240	301	27	1
234	302	27	1
236	272	28	1
237	277	28	1
241	280	28	1
251	282	28	2
248	286	28	2
246	287	28	1
245	288	28	1
227	289	28	1
243	289	28	1
244	290	28	1
245	290	28	1
240	292	28	1
240	299	28	1
181	258	29	1
235	258	29	1
187	261	29	1
220	262	29	1
193	267	29	1
226	267	29	1
231	267	29	1
216	271	29	1
232	274	29	1
233	274	29	1
236	275	29	1
237	275	29	1
205	276	29	1
238	276	29	1
252	276	29	1
236	280	29	1
238	281	29	1
241	281	29	1
249	281	29	1
237	283	29	1
238	283	29	1
239	283	29	2
222	284	29	1
226	285	29	1
234	285	29	1
242	285	29	1
228	288	29	1
249	288	29	1
228	289	29	1
239	291	29	1
246	291	29	1
247	292	29	1
236	294	29	1
244	294	29	1
220	295	29	1
241	295	29	1
249	296	29	1
243	297	29	1
246	297	29	3
237	298	29	1
252	299	29	1
225	251	30	1
215	252	30	1
237	253	30	1
181	257	30	1
189	259	30	1
206	259	30	1
219	259	30	1
239	260	30	1
212	261	30	1
224	261	30	1
238	261	30	1
249	261	30	1
186	262	30	1
179	263	30	1
218	263	30	1
222	263	30	1
186	264	30	1
233	264	30	2
213	265	30	1
224	265	30	1
232	265	30	1
184	266	30	1
226	266	30	1
228	266	30	1
241	266	30	1
193	267	30	1
202	267	30	1
237	267	30	1
238	267	30	1
248	267	30	1
190	268	30	1
231	268	30	1
244	268	30	1
180	269	30	1
193	269	30	1
175	271	30	1
181	271	30	1
234	271	30	1
180	272	30	1
233	272	30	1
183	273	30	1
231	273	30	1
235	273	30	1
177	274	30	1
214	274	30	1
180	277	30	1
237	277	30	1
247	277	30	1
236	278	30	1
250	278	30	1
253	278	30	1
243	279	30	1
245	279	30	1
254	279	30	1
232	280	30	1
238	280	30	1
241	280	30	2
219	282	30	1
223	282	30	1
233	282	30	1
235	282	30	1
239	283	30	1
233	284	30	1
251	284	30	1
220	285	30	1
219	286	30	2
234	286	30	1
240	286	30	1
249	286	30	1
255	286	30	1
223	288	30	1
245	288	30	1
246	288	30	1
226	289	30	1
231	289	30	1
237	289	30	1
198	290	30	1
231	290	30	1
232	291	30	1
239	291	30	1
242	291	30	1
246	291	30	1
248	292	30	1
221	293	30	1
231	293	30	1
243	293	30	1
225	294	30	1
227	294	30	1
221	295	30	1
228	295	30	1
220	297	30	1
231	297	30	1
239	297	30	1
248	297	30	1
252	297	30	1
235	298	30	1
237	298	30	1
218	299	30	1
226	300	30	1
245	301	30	1
247	301	30	1
239	302	30	1
248	302	30	1
217	303	30	1
237	303	30	1
239	303	30	1
241	303	30	1
235	250	31	1
224	253	31	1
225	253	31	1
233	253	31	1
193	254	31	1
235	254	31	1
238	254	31	1
229	255	31	1
233	255	31	1
230	257	31	1
238	257	31	1
231	258	31	1
239	258	31	1
219	259	31	1
220	260	31	1
239	260	31	1
184	261	31	1
216	261	31	1
226	261	31	1
234	261	31	1
244	261	31	1
246	261	31	1
193	262	31	1
194	262	31	1
195	262	31	1
217	262	31	1
218	262	31	2
226	262	31	1
246	262	31	1
197	263	31	1
234	263	31	1
236	263	31	1
238	263	31	1
187	264	31	1
189	264	31	1
240	264	31	1
249	264	31	1
222	265	31	1
232	265	31	1
239	265	31	1
211	266	31	1
228	266	31	1
183	267	31	1
192	267	31	1
197	267	31	1
222	267	31	1
227	267	31	1
245	267	31	1
197	268	31	1
213	268	31	1
247	268	31	1
188	269	31	1
242	269	31	1
246	269	31	1
250	269	31	1
173	270	31	1
215	270	31	1
231	270	31	1
242	270	31	1
247	270	31	1
210	271	31	1
240	271	31	1
249	271	31	1
204	272	31	1
206	272	31	1
211	272	31	1
234	272	31	1
239	272	31	2
250	272	31	1
234	273	31	1
250	273	31	1
203	274	31	1
236	274	31	1
237	274	31	1
243	274	31	1
244	274	31	1
250	275	31	1
242	278	31	1
178	279	31	1
237	279	31	1
220	280	31	1
236	280	31	1
248	280	31	1
251	280	31	1
181	282	31	1
179	283	31	1
236	283	31	1
239	283	31	1
240	283	31	1
231	284	31	1
222	285	31	1
229	285	31	1
248	285	31	1
220	286	31	1
225	286	31	1
231	286	31	1
234	287	31	1
187	288	31	1
233	288	31	1
247	288	31	1
225	289	31	1
228	289	31	1
238	289	31	1
243	289	31	1
222	290	31	1
232	290	31	1
204	291	31	1
238	291	31	1
248	291	31	1
257	292	31	1
225	293	31	1
251	293	31	1
222	294	31	1
227	294	31	1
229	295	31	1
244	295	31	1
248	295	31	1
249	295	31	1
255	295	31	1
223	296	31	1
242	296	31	2
236	297	31	2
252	297	31	1
255	297	31	1
228	298	31	1
245	298	31	1
247	298	31	1
223	300	31	1
228	300	31	1
250	300	31	1
224	301	31	1
245	301	31	1
244	302	31	1
235	303	31	1
223	307	31	1
223	253	32	1
218	255	32	1
230	255	32	1
234	255	32	1
210	256	32	1
227	256	32	1
203	257	32	1
208	257	32	1
210	257	32	1
217	258	32	1
219	258	32	1
241	258	32	1
209	259	32	1
228	259	32	1
182	260	32	1
211	261	32	1
216	261	32	1
246	261	32	1
186	262	32	1
189	262	32	1
194	262	32	1
218	262	32	1
194	263	32	1
200	263	32	1
215	263	32	1
247	263	32	1
224	264	32	1
244	264	32	2
233	265	32	1
248	265	32	2
218	266	32	1
251	266	32	1
222	267	32	1
239	267	32	1
186	268	32	1
241	268	32	1
252	268	32	1
213	269	32	1
239	269	32	1
245	270	32	1
175	271	32	1
182	271	32	1
188	271	32	2
202	271	32	2
227	271	32	1
243	271	32	1
251	271	32	1
183	272	32	1
186	272	32	1
208	272	32	1
226	272	32	1
213	273	32	1
240	273	32	1
249	273	32	1
172	274	32	1
181	274	32	1
207	274	32	1
234	274	32	1
240	274	32	1
203	275	32	1
210	275	32	1
252	275	32	1
203	276	32	1
234	276	32	1
239	276	32	1
242	276	32	1
204	277	32	1
205	277	32	1
236	277	32	1
237	277	32	1
249	277	32	1
203	278	32	1
236	278	32	1
237	278	32	1
249	278	32	1
250	279	32	2
255	279	32	1
249	280	32	1
181	281	32	1
232	281	32	1
237	281	32	1
175	282	32	1
179	282	32	2
221	282	32	1
227	282	32	1
250	282	32	2
251	283	32	1
179	284	32	1
186	284	32	1
221	284	32	1
233	284	32	1
248	284	32	1
178	285	32	1
204	285	32	1
205	285	32	1
218	285	32	1
231	285	32	1
175	286	32	1
180	286	32	1
242	286	32	1
177	287	32	1
233	287	32	1
241	287	32	1
242	287	32	1
222	288	32	1
229	288	32	1
253	288	32	1
239	289	32	1
239	290	32	1
241	290	32	1
255	290	32	1
248	291	32	1
218	292	32	1
236.75	292.75	33	2
238	292	32	1
242	292	32	1
246	292	32	1
247	292	32	1
249	292	32	1
179	293	32	1
198	293	32	1
218	293	32	1
251	293	32	1
242	294	32	1
181	295	32	1
218	295	32	1
224	295	32	1
218	296	32	1
241	296	32	1
183	297	32	1
237	297	32	2
245	299	32	1
247	299	32	1
249	299	32	1
246	300	32	2
248	300	32	1
241	301	32	1
249	301	32	1
225	303	32	1
235	303	32	1
217	304	32	1
238	305	32	1
208	306	32	1
234	307	32	1
223	308	32	1
231	310	32	1
233	310	32	1
234	311	32	1
228	251	33	1
222	253	33	1
225	253	33	1
232	254	33	1
235	254	33	1
217	255	33	1
223	255	33	1
226	255	33	1
216	256	33	1
222	256	33	1
227	256	33	1
237	256	33	1
240	256	33	1
214	257	33	1
215	257	33	1
194	259	33	1
211	259	33	1
216	259	33	1
243	259	33	1
219	260	33	1
223	260	33	1
246	260	33	1
205	261	33	1
211	261	33	1
236	261	33	1
194	263	33	1
218	263	33	1
190	264	33	1
199	264	33	2
216	264	33	1
235	264	33	1
242	264	33	1
248	264	33	1
191	265	33	1
195	265	33	1
202	265	33	1
252	265	33	1
220	266	33	1
237	266	33	1
246	266	33	1
212	270	33	1
216	270	33	1
252	270	33	1
178	271	33	1
204	271	33	1
209	271	33	1
210	271	33	1
217	271	33	3
229	271	33	1
233	271	33	1
241	271	33	1
247	271	33	1
182	272	33	1
185	272	33	1
189	272	33	1
205	272	33	1
237	272	33	2
241	272	33	1
251	272	33	1
184	273	33	1
213	273	33	2
203	274	33	1
235	274	33	1
236	274	33	1
239	274	33	1
205	275	33	1
213	275	33	1
215	275	33	1
