x	y	z	Processing of Capped Intronless Pre-mRNA
233	286	29	1
235	286	29	1
248	286	29	1
228	287	29	1
238	287	29	1
233	288	29	1
235	288	29	1
240	288	29	1
243	288	29	1
244	288	29	1
245	288	29	1
246	288	29	1
253	288	29	2
250	289	29	1
222	290	29	1
224	290	29	1
225	290	29	1
238	290	29	3
239	290	29	1
240	290	29	2
243	290	29	3
224	291	29	1
226	291	29	2
238	291	29	1
246	291	29	2
251	291	29	1
237	292	29	1
241	292	29	1
247	292	29	1
249	292	29	1
257	292	29	1
223	293	29	1
227	293	29	1
242	293	29	2
247	293	29	1
252	293	29	1
253	293	29	1
243	294	29	1
245	294	29	1
246	294	29	1
248	294	29	1
221	295	29	1
223	295	29	1
240	295	29	1
247	295	29	1
223	296	29	1
239	296	29	1
239	297	29	2
242	297	29	1
247	297	29	1
215	298	29	1
224	298	29	1
226	298	29	1
237	298	29	1
238	298	29	1
242	298	29	3
245	298	29	3
248	298	29	2
249	298	29	1
221	299	29	1
226	299	29	1
240	299	29	1
241	299	29	2
235	300	29	2
247	300	29	1
224	301	29	1
230	301	29	1
235	302	29	2
237	304	29	1
229	250	30	1
228	251	30	2
233	252	30	1
231	254	30	2
191	255	30	1
215	255	30	1
227	255	30	2
230	256	30	1
183	257	30	1
192	257	30	1
175	258	30	1
231	258	30	1
238	258	30	1
195	259	30	1
218	259	30	1
222	259	30	1
226	259	30	1
234	259	30	1
241	259	30	1
206	260	30	1
216	260	30	1
219	260	30	1
227	260	30	1
235	260	30	1
184	261	30	1
224	261	30	1
225	261	30	3
226	261	30	1
227	261	30	1
231	261	30	1
236	261	30	1
238	261	30	1
239	261	30	1
241	261	30	1
244	261	30	1
178	262	30	1
186	262	30	2
187	262	30	1
188	262	30	1
194	262	30	1
221	262	30	1
231	262	30	2
245	262	30	1
249	262	30	1
182	263	30	1
188	263	30	1
189	263	30	1
210	263	30	1
228	263	30	1
234	263	30	1
240	263	30	1
178	264	30	1
186	264	30	1
226	264	30	1
233	264	30	2
236	264	30	2
238	264	30	1
240	264	30	1
245	264	30	1
250	264	30	1
183	265	30	1
192	265	30	1
205	265	30	2
208	265	30	1
213	265	30	1
216	265	30	1
228	265	30	1
229	265	30	2
232	265	30	1
234	265	30	1
235	265	30	1
238	265	30	1
239	265	30	2
247	265	30	1
184	266	30	1
194	266	30	1
211	266	30	1
212	266	30	1
214	266	30	1
215	266	30	1
231	266	30	1
232	266	30	1
233	266	30	1
239.5	266.5	30.5	1
241	266	30	1
247	266	30	2
249	266	30	1
176	267	30	1
182	267	30	1
189	267	30	1
191	267	30	1
192	267	30	1
196	267	30	1
199	267	30	1
228	267	30	1
239	267	30	1
240	267	30	1
246	267	30	1
250	267	30	1
182	268	30	1
189	268	30	1
196	268	30	1
205	268	30	1
206	268	30	1
217	268	30	1
223	268	30	1
230	268	30	1
235	268	30	2
240	268	30	1
241	268	30	1
243	268	30	1
245	268	30	1
196	269	30	1
213	269	30	1
215	269	30	1
219	269	30	2
232	269	30	2
236	269	30	1
237	269	30	2
239	269	30	1
250	269	30	1
179	270	30	1
183	270	30	1
187	270	30	1
195	270	30	2
196	270	30	1
198	270	30	1
216	270	30	1
217	270	30	1
227	270	30	1
235	270	30	1
244	270	30	1
249	270	30	1
183	271	30	1
194	271	30	1
208	271	30	3
243	271	30	1
244	271	30	1
181	272	30	1
197	272	30	1
203	272	30	1
216	272	30	2
223	272	30	1
224	272	30	1
236	272	30	1
247	272	30	1
204	273	30	1
206	273	30	1
233	273	30	2
246	273	30	2
180	274	30	1
183	274	30	1
203	274	30	1
209	274	30	1
244	274	30	1
247	274	30	2
183	275	30	1
212	275	30	1
233	275	30	1
238	275	30	1
179	276	30	1
249	276	30	1
180	277	30	1
245	277	30	1
250	277	30	2
201	278	30	1
208	278	30	1
226	278	30	2
237	278	30	1
239	278	30	1
247	278	30	2
253	278	30	1
206	279	30	1
207	279	30	1
234	279	30	1
235	279	30	1
238	279	30	1
240	279	30	2
246	279	30	1
248	279	30	1
251	279	30	1
232	280	30	1
233	280	30	2
235	280	30	2
245	280	30	1
246	280	30	1
252	280	30	1
173	281	30	1
175	281	30	1
217	281	30	2
224	281	30	2
233	281	30	1
239	281	30	1
242	281	30	1
244	281	30	1
247	281	30	1
249	281	30	2
172	282	30	1
181	282	30	1
213	282	30	1
219	282	30	1
229	282	30	1
236	282	30	1
237	282	30	1
248	282	30	1
205	283	30	1
220	283	30	1
221	283	30	3
222	283	30	2
234	283	30	1
236	283	30	2
238	283	30	1
257	283	30	2
180	284	30	1
226	284	30	1
240	284	30	1
242	284	30	1
258	284	30	1
220	285	30	1
222.5	285.5	30.5	1
224	285	30	1
226	285	30	1
227	285	30	1
229	285	30	1
232	285	30	1
246	285	30	1
248	285	30	1
251	285	30	1
254	285	30	1
225	286	30	1
226	286	30	1
235	286	30	2
236	286	30	1
240	286	30	2
241	286	30	1
245	286	30	1
256	286	30	1
222	287	30	1
224	287	30	1
226	287	30	1
234	287	30	1
237	287.5	30.5	1
238.5	287.5	30.5	1
221	288	30	2
226	288	30	2
232	288	30	2
234	288	30	1
241	288	30	1
243	288	30	1
247	288	30	1
250	288	30	1
184	289	30	1
224	289	30	1
233	289	30	1
234	289	30	1
238	289	30	2
246	289	30	1
248	289	30	1
256	289	30	1
225	290	30	1
226	290	30	1
227	290	30	1
231	290	30	1
241	290	30	2
244	290	30	2
250	290	30	2
257	290	30	1
222	291	30	1
239	291	30	2
241	291	30	1
244	291	30	1
247	291	30	1
251	291	30	2
258	291	30	1
194	292	30	1
203	292	30	1
213	292	30	1
224	292	30	1
246	292	30	1
201	293	30	2
219	293	30	1
227	293	30	2
240	293	30	1
243	293	30	1
246	293	30	1
247	293	30	1
249	293	30	1
221	294	30	1
231	294	30	1
232	294	30	1
235	294	30	1
236	294	30	1
257	294	30	1
218	295	30	1
220	295	30	1
227	295	30	2
226	296	30	1
241	296	30	1
243	296	30	2
231	297	30	1
239	297	30	1
240	297	30	1
245	297	30	1
250	297	30	1
252	297	30	1
221	298	30	2
222	298	30	1
224	298	30	1
228	298	30	1
236	298	30	2
245	298	30	1
215	299	30	2
216	299	30	1
227	299	30	1
231	299	30	1
246	299	30	1
247	299	30	1
222	300	30	1
226	300	30	1
227	300	30	1
228	300	30	1
232	300	30	1
237	300	30	1
242	300	30	1
249	300	30	1
251	300	30	1
225	301	30	1
230	301	30	1
238	301	30	2
240	301	30	1
242	301	30	1
248	301	30	1
221	302	30	1
231	302	30	1
237	302	30	1
217	303	30	1
237	303	30	1
243	303	30	1
246	303	30	1
234	304	30	1
235	304	30	1
240	304	30	1
223	305	30	1
238	306	30	1
240	306	30	1
226	249	31	1
226	250	31	1
235	250	31	1
215	251	31	1
235	252	31	1
215	253	31	1
217	253	31	1
225	253	31	2
228	253	31	1
238	253	31	1
229	254	31	1
231	254	31	1
232	254	31	1
191	255	31	1
226	255	31	2
233	255	31	2
235	255	31	1
240	255	31	2
233	256	31	2
236	256	31	1
177	257	31	1
214	257	31	1
218	257	31	1
238	257	31	1
190	258	31	1
237	258	31	2
206	259	31	1
226	259	31	2
231	259	31	1
239	259	31	1
188	260	31	1
209	260	31	2
227	260	31	1
237	260	31	2
238	260	31	1
244	260	31	1
181	261	31	1
210	261	31	1
211	261	31	1
213	261	31	1
228	261	31	1
229	261	31	1
246	261	31	1
193	262	31	1
211	262	31	1
216	262	31	1
221	262	31	1
223	262	31	1
229	262	31	2
248	262	31	1
249	262	31	2
188	263	31	1
194	263	31	1
198	263	31	2
211	263	31	1
215	263	31	1
217	263	31	1
222	263	31	1
226	263	31	1
229	263	31	1
233	263	31	1
240	263	31	1
178	264	31	1
184	264	31	1
210	264	31	2
214	264	31	1
216	264	31	1
217	264	31	1
221	264	31	1
222	264	31	1
224	264	31	1
226	264	31	2
228	264	31	2
231	264	31	1
232	264	31	1
234	264	31	1
245	264	31	1
185	265	31	1
194	265	31	1
196	265	31	1
200	265	31	1
205	265	31	1
214	265	31	1
215	265	31	1
222	265	31	1
223	265	31	1
226	265	31	1
231	265	31	1
232	265	31	1
239	265	31	1
246	265	31	1
248	265	31	1
250	265	31	1
186	266	31	1
189	266	31	1
191	266	31	1
197	266	31	1
211	266	31	1
217	266	31	1
221	266	31	1
243	266	31	1
245	266	31	1
247	266	31	1
176	267	31	1
177	267	31	1
199	267	31	1
211	267	31	1
217	267	31	2
223	267	31	4
224	267	31	1
228	267	31	1
235	267	31	1
236	267	31	1
241	267	31	1
244	267	31	1
245	267	31	1
247	267	31	1
184	268	31	1
188	268	31	1
218	268	31	1
220	268	31	1
222	268	31	1
225	268	31	1
238	268	31	1
240	268	31	2
247	268	31	1
173	269	31	1
182	269	31	1
210	269	31	2
215	269	31	1
240	269	31	1
181	270	31	1
198	270	31	1
199	270	31	2
200	270	31	1
212	270	31	1
237	270	31	1
239	270	31	1
240	270	31	1
250	270	31	1
175	271	31	1
200	271	31	1
204	271	31	1
215	271	31	1
216	271	31	2
226	271	31	1
232	271	31	2
237	271	31	1
238	271	31	1
240	271	31	1
241	271	31	1
245	271	31	2
251	271	31	1
215	272	31	1
216	272	31	1
230	272	31	1
239	272	31	1
240	272	31	1
248	272	31	1
251	272	31	1
254	272	31	1
181	273	31	1
207	273	31	1
210	273	31	1
232	273	31	2
237	273	31	2
242	273	31	1
244	273	31	1
246	273	31	1
175	274	31	1
179	274	31	1
182	274	31	1
210	274	31	1
211	274	31	1
216	274	31	1
229	274	31	1
230	274	31	1
237	274	31	2
240	274	31	1
244	274	31	1
252	274	31	1
201	275	31	2
231	275	31	1
236	275	31	2
241	275	31	1
176	276	31	2
184	276	31	2
198	276	31	1
205	276	31	2
234	276	31	1
239	276	31	1
244	276	31	1
252	276	31	1
253	276	31	1
