x	y	z	DNA Replication
232	253	31	1
233	253	31	1
237	253	31	2
227	254	31	1
234	255	31	1
240	255	31	1
207	256	31	1
177	257	31	2
236	257	31	1
188	258	31	1
229	258	31	1
230	258	31	1
240	258	31	1
209	259	31	1
216	259	31	1
219	259	31	1
231	259	31	2
187	260	31	1
209	260	31	1
234	260	31	1
239	260	31	1
240	260	31	1
245	260	31	1
246	260	31	1
181	261	31	1
195	261	31	1
208	261	31	1
210	261	31	1
213	261	31	1
216	261	31	3
234	261	31	2
237	261	31	1
243	261	31	1
246	261	31	1
194	262	31	1
207	262	31	1
210	262	31	1
216	262	31	1
221	262	31	1
226	262	31	1
227	262	31	1
236	262	31	2
238	262	31	1
242	262	31	2
246	262	31	1
249	262	31	1
185	263	31	1
193	263	31	1
197	263	31	1
227	263	31	1
244	263	31	2
245	263	31	1
249	263	31	2
178	264	31	1
185	264	31	1
194	264	31	2
214	264	31	1
216	264	31	1
221	264	31	1
224	264	31	1
234	264	31	1
237	264	31	1
238	264	31	1
240	264	31	1
246	264	31	2
184	265	31	1
205	265	31	1
214	265	31	1
222	265	31	1
229	265	31	1
233	265	31	1
236	265	31	1
238	265	31	1
240	265	31	1
249	265	31	1
189	266	31	1
194	266	31	2
197	266	31	1
211	266	31	1
212	266	31	1
213	266	31	1
217	266	31	1
228	266	31	1
229	266	31	1
232	266	31	1
236	266	31	1
246	266	31	1
251	266	31	1
183	267	31	2
193	267	31	1
194	267	31	1
196	267	31	1
217	267	31	1
223	267	31	1
232	267	31	2
233	267	31	1
241	267	31	1
244	267	31	2
246	267	31	1
183	268	31	1
184	268	31	1
188	268	31	1
193	268	31	2
198	268	31	2
205	268	31	2
210	268	31	1
213	268	31	1
215	268	31	1
219	268	31	1
220	268	31	1
234	268	31	1
244	268	31	1
182	269	31	1
183	269	31	3
194	269	31	1
198	269	31	1
210	269	31	1
231	269	31	2
242	269	31	1
246	269	31	1
248	269	31	2
181	270	31	2
212	270	31	2
237	270	31	1
240	270	31	1
249	270	31	1
174	271	31	2
175	271	31	1
185	271	31	1
210	271	31	1
212	271	31	1
224	271	31	1
226	271	31	1
232	271	31	1
237	271	31	2
239	271	31	2
244	271	31	1
247	271	31	1
176	272	31	1
182	272	31	3
185	272	31	1
204	272	31	1
205	272	31	1
208	272	31	1
211	272	31	1
213	272	31	2
216	272	31	1
225	272	31	1
227	272	31	1
235	272	31	1
240	272	31	1
243	272	31	1
176	273	31	1
181	273	31	1
183	273	31	2
207	273	31	1
210	273	31	1
211	273	31	1
213	273	31	1
232	273	31	1
234	273	31	1
238	273	31	1
239	273	31	2
242	273	31	1
244	273	31	1
246	273	31	1
248	273	31	1
175	274	31	1
182	274	31	2
209	274	31	2
210	274	31	1
213	274	31	1
229	274	31	1
233	274	31	1
236	274	31	1
239	274	31	2
244	274	31	1
247	274	31	1
248	274	31	1
250	274	31	1
