x	y	z	Glycolysis
241	294	26	1
242	294	26	1
243	294	26	1
244	294	26	1
245	294	26	1
246	294	26	1
249	294	26	1
242	295	26	1
243	295	26	2
245	295	26	1
239	296	26	1
240	296	26	2
241	296	26	1
244	296	26	1
239	297	26	1
240	297	26	1
242	297	26	1
244	297	26	1
245	297	26	1
236	298	26	1
239	298	26	2
242	298	26	2
246	298	26	1
240	299	26	2
241	299	26	3
227	300	26	2
236	300	26	1
235	301	26	1
184	256	27	1
183	257	27	2
181	258	27	1
232	258	27	1
184	259	27	1
188	259	27	1
228	259	27	1
229	259	27	1
181	260	27	1
184	260	27	1
226	260	27	2
228	260	27	1
235	260	27	1
237	260	27	2
240	260	27	1
181	261	27	1
186	261	27	1
187	261	27	1
220	261	27	1
222	261	27	1
228	261	27	2
230	261	27	1
231	261	27	1
232	261	27	1
234	261	27	1
235	261	27	1
237	261	27	2
239	261	27	1
177	262	27	1
186	262	27	1
227	262	27	1
232	262	27	1
238	262	27	1
239	262	27	2
175	263	27	2
178	263	27	1
179	263	27	1
181	263	27	1
182	263	27	1
183	263	27	2
211	263	27	2
215	263	27	2
220	263	27	2
225	263	27	1
227	263	27	1
231	263	27	1
234	263	27	1
239	263	27	1
176	264	27	2
226	264	27	1
228	264	27	1
229	264	27	1
230	264	27	1
231	264	27	1
232	264	27	2
238	264	27	1
239	264	27	1
240	264	27	1
248	264	27	1
181	265	27	2
189	265	27	1
212	265	27	1
221	265	27	2
225	265	27	1
226	265	27	2
231	265	27	1
232	265	27	2
236	265	27	1
237	265	27	1
238	265	27	1
178	266	27	1
217	266	27	1
219	266	27	1
224	266	27	2
226	266	27	1
227	266	27	1
231	266	27	1
214	267	27	1
215	267	27	2
226	267	27	3
229	267	27	2
231	267	27	1
235	267	27	1
236	267	27	1
249	267	27	1
179	268	27	1
180	268	27	1
181	268	27	2
197	268	27	1
215	268	27	1
216	268	27	1
219	268	27	1
223	268	27	1
225	268	27	1
226	268	27	1
229	268	27	2
231	268	27	1
232	268	27	1
233	268	27	1
234	268	27	1
235	268	27	1
240	268	27	1
243	268	27	1
177	269	27	2
178	269	27	2
179	269	27	1
180	269	27	1
207	269	27	3
211	269	27	3
214	269	27	1
218	269	27	1
225	269	27	1
227	269	27	2
233	269	27	2
237	269	27	1
239	269	27	1
240	269	27	1
242	269	27	1
181	270	27	2
184	270	27	1
197	270	27	1
215	270	27	1
217	270	27	1
221	270	27	1
226	270	27	2
231	270	27	1
233	270	27	3
234	270	27	1
236	270	27	1
238	270	27	2
242	270	27	1
243	270	27	2
248	270	27	3
250	270	27	1
177	271	27	1
181	271	27	1
207	271	27	2
209	271	27	1
210	271	27	2
211	271	27	1
215	271	27	3
216	271	27	1
222	271	27	2
223	271	27	1
231	271	27	2
234	271	27	1
248	271	27	1
249	271	27	1
251	271	27	1
176	272	27	1
179	272	27	2
205	272	27	1
216	272	27	1
217	272	27	1
222	272	27	1
223	272	27	1
229	272	27	1
232	272	27	1
234	272	27	2
240	272	27	1
241	272	27	1
247	272	27	1
249	272	27	3
183	273	27	3
210	273	27	1
212	273	27	1
214	273	27	1
217	273	27	1
220	273	27	1
229	273	27	2
231	273	27	1
232	273	27	1
234	273	27	1
235	273	27	1
239	273	27	2
240	273	27	3
247	273	27	1
253	273	27	1
177	274	27	2
178	274	27	3
179	274	27	1
204	274	27	1
208	274	27	1
209	274	27	1
211	274	27	3
212	274	27	1
213	274	27	1
216	274	27	1
224	274	27	1
227	274	27	1
232	274	27	2
233	274	27	2
235	274	27	2
236	274	27	3
237	274	27	1
238	274	27	2
240	274	27	2
184	275	27	2
205	275	27	1
208	275	27	1
213	275	27	2
224	275	27	1
228	275	27	1
238	275	27	1
240	275	27	1
244	275	27	1
247	275	27	1
249	275	27	2
250	275	27	1
252	275	27	1
254	275	27	1
205	276	27	1
206	276	27	1
207	276	27	5
208	276	27	1
209	276	27	1
210	276	27	1
214	276	27	1
215	276	27	1
219	276	27	1
220	276	27	1
227	276	27	1
230	276	27	1
234	276	27	2
238	276	27	1
239	276	27	3
244	276	27	2
245	276	27	1
246	276	27	2
207	277	27	1
210	277	27	2
211	277	27	1
212	277	27	2
213	277	27	2
219	277	27	2
224	277	27	1
227	277	27	1
231	277	27	1
235	277	27	1
238	277	27	1
239	277	27	1
244	277	27	1
248	277	27	1
249	277	27	1
206	278	27	1
210	278	27	1
211	278	27	1
213	278	27	1
214	278	27	1
219	278	27	1
229	278	27	2
231	278	27	2
235	278	27	1
240	278	27	1
244	278	27	1
248	278	27	1
251	278	27	1
252	278	27	1
208	279	27	1
210	279	27	1
219	279	27	1
231	279	27	1
235	279	27	2
237	279	27	1
238	279	27	2
242	279	27	1
245	279	27	2
247	279	27	1
250	279	27	1
206	280	27	1
208	280	27	1
232	280	27	1
234	280	27	1
235	280	27	1
236	280	27	1
238	280	27	2
239	280	27	1
242	280	27	1
244	280	27	2
245	280	27	1
246	280	27	1
247	280	27	1
249	280	27	2
250	280	27	1
206	281	27	1
207	281	27	1
209	281	27	1
210	281	27	1
218	281	27	1
228	281	27	2
231	281	27	1
240	281	27	2
241	281	27	1
244	281	27	2
248	281	27	2
252	281	27	1
254	281	27	2
256	281	27	1
257	281	27	1
206	282	27	1
212	282	27	1
213	282	27	2
229	282	27	1
233	282	27	1
240	282	27	1
246	282	27	1
247	282	27	2
252	282	27	1
254	282	27	1
201	283	27	1
210	283	27	2
215	283	27	1
216	283	27	2
218	283	27	1
221	283	27	1
231	283	27	1
234	283	27	2
235	283	27	2
236	283	27	1
242	283	27	3
243	283	27	1
248	283	27	1
249	283	27	1
251	283	27	2
254	283	27	1
256	283	27	3
210	284	27	1
212	284	27	2
230	284	27	2
235	284	27	2
236	284	27	3
238	284	27	3
240	284	27	1
243	284	27	1
249	284	27	1
251	284	27	2
252	284	27	3
256	284	27	1
257	284	27	3
199	285	27	1
204	285	27	1
206	285	27	1
210	285	27	1
213	285	27	1
215	285	27	1
219	285	27	1
223	285	27	1
224	285	27	1
233	285	27	1
234	285	27	1
237	285	27	1
245	285	27	1
246	285	27	1
256	285	27	1
206	286	27	2
207	286	27	2
208	286	27	1
211	286	27	1
216	286	27	1
218	286	27	1
220	286	27	1
232	286	27	2
233	286	27	2
234	286	27	1
235	286	27	1
237	286	27	1
240	286	27	1
244	286	27	2
245	286	27	1
246	286	27	1
248	286	27	1
251	286	27	1
252	286	27	2
256	286	27	1
210	287	27	1
214	287	27	1
222	287	27	1
227	287	27	1
231	287	27	2
233	287	27	1
236	287	27	1
237	287	27	1
238	287	27	1
239	287	27	3
243	287	27	1
246	287	27	1
248	287	27	1
251	287	27	2
253	287	27	2
255	287	27	1
204	288	27	2
207	288	27	1
211	288	27	1
214	288	27	1
224	288	27	1
225	288	27	1
226	288	27	1
228	288	27	1
229	288	27	1
232	288	27	2
237	288	27	1
238	288	27	1
240	288	27	1
241	288	27	2
242	288	27	2
250	288	27	2
253	288	27	1
203	289	27	1
223	289	27	1
225	289	27	2
227	289	27	2
232	289	27	1
236	289	27	1
239	289	27	1
240	289	27	1
242	289	27	1
243	289	27	1
246	289	27	1
251	289	27	1
254	289	27	1
214	290	27	2
221	290	27	1
224	290	27	2
225	290	27	1
227	290	27	2
228	290	27	1
232	290	27	3
233	290	27	1
234	290	27	1
237	290	27	4
241	290	27	1
244	290	27	2
246	290	27	2
247	290	27	1
249	290	27	2
250	290	27	1
251	290	27	2
210	291	27	1
213	291	27	5
221	291	27	1
227	291	27	1
228	291	27	2
230	291	27	1
233	291	27	2
237	291	27	2
238	291	27	2
240	291	27	1
241	291	27	1
243	291	27	1
247	291	27	2
248	291	27	1
249	291	27	1
252	291	27	3
212	292	27	2
213	292	27	1
220	292	27	3
221	292	27	1
222	292	27	1
223	292	27	2
224	292	27	2
226	292	27	3
228	292	27	1
229	292	27	2
234	292	27	2
238	292	27	1
239	292	27	1
244	292	27	1
252	292	27	1
220	293	27	2
221	293	27	1
222	293	27	2
223	293	27	2
227	293	27	2
237	293	27	1
238	293	27	1
239	293	27	2
242	293	27	1
245	293	27	1
247	293	27	1
249	293	27	3
251	293	27	1
254	293	27	1
256	293	27	2
211	294	27	1
217	294	27	1
231	294	27	1
235	294	27	3
237	294	27	2
245	294	27	1
249	294	27	1
250	294	27	1
251	294	27	1
222	295	27	1
223	295	27	1
226	295	27	1
241	295	27	1
249	295	27	1
255	295	27	1
237	296	27	1
240	296	27	1
241	296	27	1
246	296	27	3
247	296	27	2
249	296	27	2
252	296	27	2
255	296	27	1
221	297	27	3
236	297	27	2
237	297	27	1
238	297	27	1
246	297	27	2
221	298	27	1
223	298	27	2
226	298	27	1
237	298	27	2
238	298	27	2
239	298	27	1
244	298	27	1
245	298	27	1
248	298	27	2
215	299	27	3
223	299	27	1
236	299	27	1
240	299	27	4
241	299	27	1
242	299	27	3
245	299	27	1
247	299	27	1
252	299	27	1
227	300	27	1
228	300	27	1
231	300	27	1
235	300	27	1
236	300	27	1
237	300	27	1
238	300	27	1
240	300	27	1
247	300	27	2
248	300	27	1
224	301	27	1
227	301	27	2
236	301	27	1
238	301	27	1
239	301	27	2
241	301	27	1
245	301	27	1
250	301	27	1
234	302	27	1
237	302	27	2
238	302	27	3
245	302	27	3
241	303	27	1
238	304	27	1
244	304	27	1
235	305	27	2
231	264	28	4
234	265	28	1
234	266	28	1
235	266	28	1
231	267	28	2
234	267	28	2
235	268	28	1
236	268	28	1
238	268	28	1
237	269	28	1
238	269	28	1
235	270	28	1
238	270	28	2
240	271	28	1
233	272	28	1
234	272	28	1
250	272	28	1
211	273	28	1
249	275	28	1
234	276	28	1
238	276	28	1
237	277	28	1
237	279	28	1
248	279	28	1
251	280	28	1
235	281	28	1
252	281	28	1
235	282	28	2
246	282	28	1
247	282	28	1
247	283	28	2
249	283	28	1
235	284	28	1
250	284	28	1
254	284	28	1
238	285	28	2
239	285	28	2
245	285	28	1
232	286	28	1
237	286	28	3
246	286	28	1
247	286	28	1
249	286	28	1
244	287	28	1
245	287	28	2
246	287	28	2
248	287	28	1
224	288	28	1
242	288	28	2
228	289	28	1
231	289	28	1
243	289	28	1
247	289	28	1
248	289	28	1
226	290	28	1
240	290	28	1
245	290	28	1
226	291	28	1
240	291	28	1
241	291	28	3
222	292	28	1
240	292	28	2
242	292	28	1
245	292	28	1
248	292	28	1
250	292	28	2
240	293	28	1
248	293	28	3
250	293	28	2
249	294	28	2
250	294	28	1
241	295	28	1
242	295	28	1
245	295	28	1
248	295	28	1
240	296	28	1
245	297	28	1
235	256	29	3
182	257	29	1
181	258	29	1
228	258	29	1
233	258	29	2
234	258	29	1
182	259	29	2
188	259	29	2
182	260	29	2
240	260	29	2
187	261	29	1
199	261	29	1
226	261	29	1
227	261	29	1
227	262	29	1
229	262	29	3
231	263	29	1
178	264	29	1
224	264	29	1
230	264	29	3
238	264	29	1
215	265	29	1
226	265	29	1
232	265	29	1
233	265	29	2
235	265	29	2
239	265	29	1
249	265	29	1
178	266	29	1
197	266	29	2
226	266	29	1
228	266	29	2
234	266	29	2
236	266	29	1
237	266	29	3
250	266	29	2
192	267	29	1
194	267	29	1
196	267	29	3
197	267	29	1
234	267	29	2
235	267	29	1
194	268	29	1
234	268	29	1
235	268	29	1
238	268	29	1
239	268	29	1
244	268	29	1
180	269	29	1
193	269	29	2
196	269	29	1
232	269	29	1
234	269	29	2
240	269	29	1
248	269	29	1
175	270	29	1
178	270	29	2
200	270	29	2
230	270	29	2
231	270	29	1
234	270	29	1
237	270	29	1
238	270	29	1
250	270	29	1
173	271	29	1
203	271	29	2
204	271	29	2
214	271	29	1
238	271	29	3
240	271	29	1
241	271	29	2
249	271	29	1
251	271	29	3
224	272	29	1
235	272	29	1
238	272	29	1
239	272	29	1
245	272	29	1
251	272	29	1
182	273	29	2
207	273	29	3
225	273	29	2
236	273	29	1
238	273	29	1
250	273	29	1
180	274	29	3
213	274	29	2
214	274	29	2
232	274	29	1
235	274	29	2
236	274	29	1
239	274	29	1
240	274	29	1
247	274	29	1
250	274	29	1
215	275	29	2
232	275	29	3
235	275	29	2
239	275	29	1
242	275	29	2
245	275	29	2
204	276	29	1
205	276	29	1
228	276	29	1
232	276	29	1
240	276	29	2
249	276	29	1
250	276	29	2
252	276	29	1
205	277	29	1
232	277	29	1
237	277	29	1
240	277	29	1
247	277	29	1
250	277	29	1
208	278	29	1
235	278	29	3
238	278	29	1
239	278	29	3
245	278	29	1
250	278	29	2
246	279	29	3
247	279	29	3
248	279	29	1
236	280	29	1
241	280	29	3
246	280	29	1
249	280	29	3
250	280	29	1
252	280	29	1
254	280	29	2
256	280	29	1
208	281	29	2
224	281	29	2
234	281	29	1
235	281	29	1
243	281	29	2
247	281	29	1
248	281	29	1
250	281	29	1
251	281	29	1
206	282	29	1
213	282	29	1
233	282	29	2
241	282	29	1
215	283	29	1
232	283	29	2
236	283	29	1
238	283	29	1
244	283	29	1
245	283	29	2
246	283	29	1
249	283	29	2
251	283	29	2
211	284	29	1
220	284	29	1
222	284	29	1
232	284	29	1
237	284	29	1
243	284	29	2
249	284	29	2
250	284	29	3
255	284	29	3
227	285	29	1
239	285	29	1
242	285	29	1
243	285	29	2
246	285	29	2
250	285	29	1
232	286	29	1
233	286	29	1
236	286	29	3
247	286	29	1
248	286	29	1
252	286	29	1
232	287	29	1
234	287	29	1
236	287	29	2
238	287	29	1
240	287	29	1
241	287	29	1
244	287	29	2
224	288	29	1
228	288	29	1
234	288	29	2
236	288	29	1
240	288	29	1
242	288	29	1
249	288	29	2
253	288	29	2
224	289	29	3
234	289	29	1
236	289	29	1
237	289	29	1
243	289	29	2
244	289	29	1
245	289	29	1
247	289	29	3
254	289	29	1
222	290	29	1
227	290	29	1
228	290	29	3
237	290	29	1
243	290	29	1
246	290	29	1
222	291	29	3
226	291	29	1
238	291	29	1
245	291	29	1
246	291	29	2
247	291	29	2
248	291	29	1
249	291	29	2
250	291	29	1
222	292	29	1
227	292	29	3
237	292	29	3
238	292	29	1
239	292	29	1
242	292	29	2
245	292	29	1
247	292	29	1
248	292	29	3
249	292	29	1
250	292	29	1
257	292	29	1
224	293	29	3
227	293	29	1
248	293	29	1
252	293	29	1
253	293	29	1
224	294	29	2
240	294	29	1
241	294	29	2
243	294	29	1
244	294	29	2
245	294	29	1
248	294	29	2
249	294	29	1
251	294	29	1
220	295	29	1
223	295	29	2
241	295	29	1
243	295	29	1
222	296	29	2
223	296	29	2
249	296	29	1
255	296	29	1
227	297	29	2
238	297	29	2
239	297	29	1
240	297	29	1
242	297	29	1
245	297	29	1
247	297	29	1
248	297	29	2
219	298	29	1
226	298	29	2
237	298	29	1
238	298	29	1
242	298	29	1
247	298	29	1
249	298	29	1
221	299	29	1
222	299	29	2
227	299	29	2
239	299	29	2
240	299	29	1
221	300	29	1
225	300	29	1
227	300	29	2
235	300	29	1
236	300	29	1
221	301	29	1
223	301	29	2
227	301	29	1
230	301	29	1
238	301	29	2
235	302	29	1
240	303	29	1
237	304	29	1
236	305	29	2
229	250	30	1
215	254	30	2
230	254	30	3
233	254	30	1
215	255	30	1
237	255	30	2
229	256	30	2
230	256	30	1
231	256	30	1
235	256	30	2
236	256	30	1
181	257	30	1
183	257	30	1
190	257	30	1
192	257	30	1
203	257	30	1
215	257	30	2
237	257	30	2
239	257	30	2
240	257	30	1
175	258	30	1
181	258	30	2
186	258	30	1
203	258	30	1
226	258	30	1
227	258	30	1
231	258	30	1
233	258	30	1
236	258	30	1
175	259	30	1
183	259	30	1
189	259	30	1
206	259	30	2
214	259	30	2
216	259	30	1
220	259	30	1
222	259	30	1
224	259	30	1
226	259	30	1
228	259	30	1
229	259	30	1
232	259	30	3
235	259	30	1
237	259	30	2
238	259	30	1
241	259	30	3
212	260	30	2
216	260	30	1
217	260	30	1
219	260	30	1
223	260	30	1
226	260	30	2
227	260	30	2
231	260	30	2
238	260	30	3
239	260	30	2
240	260	30	1
245	260	30	1
184	261	30	2
187	261	30	1
188	261	30	1
196	261	30	1
198	261	30	1
212	261	30	1
217	261	30	1
219	261	30	1
224	261	30	1
225	261	30	2
226	261	30	3
230	261	30	3
232	261	30	1
241	261	30	1
244	261	30	1
179	262	30	1
188	262	30	1
193	262	30	1
206	262	30	1
216	262	30	1
218	262	30	1
221	262	30	2
222	262	30	2
223	262	30	2
225	262	30	1
227	262	30	1
231	262	30	1
233	262	30	1
246	262	30	2
248	262	30	1
249	262	30	1
185	263	30	2
186	263	30	2
197	263	30	1
210	263	30	1
211	263	30	2
218	263	30	3
219	263	30	1
226	263	30	1
233	263	30	2
234	263	30	1
240	263	30	1
242	263	30	3
248	263	30	1
186	264	30	1
194	264	30	1
195	264	30	1
222	264	30	1
227	264	30	1
228	264	30	1
233	264	30	1
236	264	30	1
241	264	30	1
250	264	30	1
192	265	30	1
193	265	30	1
196	265	30	1
197	265	30	1
210	265	30	1
211	265	30	1
212	265	30	2
214	265	30	2
216	265	30	1
219	265	30	1
224	265	30	1
228	265	30	1
229	265	30	2
231	265	30	1
235	265	30	2
238	265	30	1
242	265	30	1
184	266	30	1
188	266	30	1
194	266	30	1
211	266	30	3
214	266	30	1
215	266	30	2
228	266	30	1
231	266	30	3
233	266	30	4
239.5	266.5	30.5	1
240	266	30	2
241	266	30	1
182	267	30	1
183	267	30	2
191	267	30	1
192	267	30	2
196	267	30	2
209	267	30	1
219	267	30	1
225	267	30	1
235	267	30	2
236	267	30	1
238	267	30	1
239	267	30	3
246	267	30	1
248	267	30	1
250	267	30	1
172	268	30	1
189	268	30	1
190	268	30	1
194	268	30	1
195	268	30	2
196	268	30	1
205	268	30	1
206	268	30	1
207	268	30	1
214	268	30	1
223	268	30	1
226	268	30	1
228	268	30	1
239	268	30	1
244	268	30	2
246	268	30	2
247	268	30	1
249	268	30	1
250	268	30	1
196	269	30	2
197	269	30	1
198	269	30	1
214	269	30	1
216	269	30	2
219	269	30	1
222	269	30	1
235	269	30	1
237	269	30	2
239	269	30	1
240	269	30	1
242	269	30	3
243	269	30	1
244	269	30	1
247	269	30	2
248	269	30	2
250	269	30	1
178	270	30	1
183	270	30	3
184	270	30	2
187	270	30	1
194	270	30	1
195	270	30	1
197	270	30	1
198	270	30	1
200	270	30	1
201	270	30	1
214	270	30	4
216	270	30	3
217	270	30	1
230	270	30	2
231	270	30	2
232	270	30	1
233	270	30	1
234	270	30	1
238	270	30	1
245	270	30	1
249	270	30	1
250	270	30	1
175	271	30	1
185	271	30	1
188	271	30	4
199	271	30	1
207	271	30	1
211	271	30	3
212	271	30	1
216	271	30	1
232	271	30	2
233	271	30	1
234	271	30	2
238	271	30	1
244	271	30	2
247	271	30	1
249	271	30	1
179	272	30	2
180	272	30	1
181	272	30	3
182	272	30	1
185	272	30	1
197	272	30	1
203	272	30	1
206	272	30	3
207	272	30	1
216	272	30	1
223	272	30	1
227	272	30	1
240	272	30	1
244	272	30	1
247	272	30	1
250	272	30	1
181	273	30	2
182	273	30	1
203	273	30	1
211	273	30	1
213	273	30	1
214	273	30	2
232	273	30	2
233	273	30	2
235	273	30	1
240	273	30	1
241	273	30	1
246	273	30	1
181	274	30	1
182	274	30	1
183	274	30	3
185	274	30	1
203	274	30	3
208	274	30	1
233	274	30	1
234	274	30	1
239	274	30	1
247	274	30	2
180	275	30	1
182	275	30	1
183	275	30	1
212	275	30	1
215	275	30	3
235	275	30	1
236	275	30	1
237	275	30	2
244	275	30	2
249	275	30	2
250	275	30	1
251	275	30	1
179	276	30	1
186	276	30	2
206	276	30	1
236	276	30	2
240	276	30	1
241	276	30	1
249	276	30	1
253	276	30	1
174	277	30	2
206	277	30	1
208	277	30	1
235	277	30	1
239	277	30	1
241	277	30	1
243	277	30	1
247	277	30	1
249	277	30	2
251	277	30	3
175	278	30	1
190	278	30	2
201	278	30	2
204	278	30	2
205	278	30	1
226	278	30	2
237	278	30	2
239	278	30	1
247	278	30	1
248	278	30	1
249	278	30	1
250	278	30	2
206	279	30	2
207	279	30	1
219	279	30	2
221	279	30	1
234	279	30	1
235	279	30	1
238	279	30	1
243	279	30	2
244	279	30	3
245	279	30	1
246	279	30	1
248	279	30	1
250	279	30	1
254	279	30	1
178	280	30	1
183	280	30	2
206	280	30	1
219	280	30	2
235	280	30	2
236	280	30	2
241	280	30	1
242	280	30	1
244	280	30	2
246	280	30	1
249	280	30	2
252	280	30	1
173	281	30	1
181	281	30	1
223	281	30	1
224	281	30	1
234	281	30	1
235	281	30	2
240	281	30	1
241	281	30	1
242	281	30	1
245	281	30	2
247	281	30	1
252	281	30	3
254	281	30	1
179	282	30	1
181	282	30	2
182	282	30	2
210	282	30	1
213	282	30	1
215	282	30	1
220	282	30	1
221	282	30	1
223	282	30	1
232	282	30	1
237	282	30	2
240	282	30	3
244	282	30	2
245	282	30	1
247	282	30	2
250	282	30	2
251	282	30	2
252	282	30	1
253	282	30	1
254	282	30	2
179	283	30	1
202	283	30	1
205	283	30	1
221	283	30	1
223	283	30	1
234	283	30	1
236	283	30	2
239	283	30	2
240	283	30	3
246	283	30	1
248	283	30	1
249	283	30	1
250	283	30	2
251	283	30	3
252	283	30	1
254	283	30	2
180	284	30	3
219	284	30	1
221	284	30	1
224	284	30	3
226	284	30	1
230	284	30	1
233	284	30	2
236	284	30	2
238	284	30	1
241.666666666667	284.666666666667	31	1
243	284	30	1
245	284	30	1
249	284	30	1
250	284	30	1
253	284	30	1
254	284	30	1
211	285	30	2
222.5	285.5	30.5	1
223	285	30	1
226	285	30	1
227	285	30	1
229	285	30	1
233	285	30	1
234	285	30	1
245	285.666666666667	31	1
248	285	30	1
251	285	30	1
252	285	30	1
206	286	30	4
219	286	30	1
222	286	30	1
223	286	30	2
224	286	30	3
225	286	30	1
227	286	30	1
228	286	30	1
229	286	30	1
238	286	30	2
240	286	30	2
241	286	30	2
243	286	30	2
244	286	30	1
248	286	30	1
249	286	30	1
250	286	30	1
251	286	30	2
252	286	30	4
255	286	30	1
256	286	30	1
257	286	30	1
207	287	30	1
219	287	30	2
220	287	30	1
224	287	30	2
225	287	30	1
226	287	30	2
228	287	30	1
231	287	30	1
237	287.5	30.5	1
243	287	30	1
252	287	30	1
254	287	30	1
255	287	30	1
223	288	30	2
225	288	30	2
228	288	30	6
229	288	30	1
232	288	30	1
235	288	30	1
236	288	30	2
238	288	30	1
239	288	30	2
243	288	30	1
244	288	30	1
246	288	30	1
247	288	30	2
248	288	30	2
249	288	30	1
252	288	30	1
