x	y	z	SUMOylation of DNA replication proteins
250	287	27	2
252	287	27	1
253	287	27	1
256	287	27	1
226	288	27	1
235	288	27	1
242	288	27	2
246	288	27	1
247	288	27	1
251	288	27	1
253	288	27	1
255	288	27	1
222	289	27	1
223	289	27	2
224	289	27	1
226	289	27	2
227	289	27	2
228	289	27	1
230	289	27	1
238	289	27	2
248	289	27	1
207	290	27	1
214	290	27	1
221	290	27	1
230	290	27	1
232	290	27	1
249	290	27	1
213	291	27	1
222	291	27	1
224	291	27	1
227	291	27	2
228	291	27	1
229	291	27	1
230	291	27	1
235	291	27	1
236	291	27	1
239	291	27	3
240	291	27	1
246	291	27	2
249	291	27	1
250	291	27	1
251	291	27	1
213	292	27	1
222	292	27	1
224	292	27	1
225	292	27	1
226	292	27	1
229	292	27	1
235	292	27	2
238	292	27	1
241	292	27	1
247	292	27	1
248	292	27	1
250	292	27	1
251	292	27	1
253	292	27	1
211	293	27	1
217	293	27	2
219	293	27	1
221	293	27	2
222	293	27	1
223	293	27	1
224	293	27	1
225	293	27	1
229	293	27	2
239	293	27	2
242	293	27	1
245	293	27	1
250	293	27	1
254	293	27	1
256	293	27	2
217	294	27	1
225	294	27	1
226	294	27	1
235	294	27	1
252	294	27	1
257	294	27	1
219	295	27	1
220	295	27	1
222	295	27	2
223	295	27	1
226	295	27	2
241	295	27	1
244	295	27	1
250	295	27	1
251	295	27	1
221	296	27	1
236	296	27	2
238	296	27	1
245	296	27	1
246	296	27	2
247	296	27	1
255	296	27	1
239	297	27	1
244	297	27	1
245	297	27	1
249	297	27	1
251	297	27	1
221	298	27	2
244	298	27	1
247	298	27	1
226	299	27	1
237	299	27	2
240	299	27	1
245	299	27	3
246	299	27	3
252	299	27	2
228	300	27	1
231	300	27	1
236	300	27	1
239	300	27	1
241	300	27	1
248	300	27	1
234	301	27	1
240	301	27	1
247	301	27	1
251	301	27	1
237	302	27	1
244	302	27	1
235	304	27	1
236	304	27	1
237	304	27	1
243	304	27	1
244	304	27	2
237	305	27	1
230	262	28	1
234	265	28	1
234	267	28	1
236	267	28	1
237	268	28	1
237	269	28	2
236	270	28	1
250	270	28	2
240	271	28	1
232	272	28	1
236	272	28	1
211	273	28	1
235	274	28	1
234	276	28	1
235	277	28	1
237	279	28	1
235	280	28	1
208	281	28	2
248	281	28	3
246	282	28	2
249	282	28	1
246	284	28	1
248	284	28	2
238	285	28	1
239	285	28	1
240	285	28	1
235	286	28	2
247	286	28	1
251	287	28	1
224	288	28	1
238	288	28	2
245	288	28	1
231	289	28	2
246	289	28	1
247	289	28	2
253	289	28	1
239	291	28	1
241	291	28	1
248	291	28	1
242	292	28	1
245	292	28	1
248	292	28	1
250	292	28	1
240	293	28	1
243	293	28	1
250	293	28	2
245	294	28	1
249	294	28	1
251	294	28	1
240	295	28	1
239	297	28	1
225	300	28	1
235	256	29	1
234	258	29	1
229	259	29	1
234	260	29	2
240	260	29	1
187	261	29	1
221	262	29	1
248	263	29	1
178	264	29	1
216	264	29	1
224	264	29	1
226	264	29	1
234	265	29	5
235	265	29	1
237	266	29	2
194	267	29	1
196	267	29	1
199	267	29	1
234	267	29	2
235	267	29	1
236	267	29	1
217	268	29	2
234	268	29	2
237	268	29	1
250	268	29	1
180	269	29	2
193	269	29	2
196	269	29	1
232	269	29	1
237	269	29	1
175	270	29	2
196	270	29	1
198	270	29	1
215	270	29	1
232	270	29	1
250	270	29	1
204	271	29	1
229	271	29	3
233	271	29	1
237	271	29	1
240	271	29	1
251	271	29	1
211	272	29	2
214	272	29	1
236	272	29	1
245	272	29	1
182	273	29	1
225	273	29	3
249	273	29	2
250	273	29	1
206	274	29	1
233	274	29	1
236	274	29	1
239	274	29	1
247	274	29	2
184	275	29	2
215	275	29	1
231	275	29	1
236	275	29	1
206	276	29	1
208	276	29	1
232	276	29	1
240	276	29	2
241	276	29	2
248	276	29	2
252	276	29	2
234	277	29	1
239	277	29	1
204	278	29	1
244	278	29	1
250	278	29	1
235	279	29	3
245	279	29	1
248	279	29	1
233	280	29	1
234	280	29	2
237	280	29	1
245	280	29	1
249	280	29	1
250	280	29	1
233	281	29	1
237	281	29	1
241	281	29	1
245	281	29	1
250	281	29	1
212	282	29	1
235	282	29	1
241	282	29	1
246	282	29	1
248	282	29	1
251	282	29	1
254	282	29	1
232	283	29	1
233	283	29	2
236	283	29	1
238	283	29	1
250	283	29	1
211	284	29	1
232	284	29	2
234	284	29	1
238	284	29	1
244	284	29	1
245	284	29	1
250	284	29	1
256	284	29	1
233	285	29	1
234	285	29	1
236	285	29	1
241	285	29	2
242	285	29	1
232	286	29	1
235	286	29	1
236	286	29	1
243	286	29	1
249	286	29	1
252	286	29	3
225	287	29	2
228	287	29	1
232	287	29	1
234	287	29	1
241	287	29	1
245	287	29	1
246	287	29	2
249	287	29	1
225	288	29	1
226	288	29	1
228	288	29	1
236	288	29	1
240	288	29	1
241	288	29	1
225	289	29	1
237	289	29	1
243	289	29	1
246	289	29	1
254	289	29	1
222	290	29	1
226	290	29	1
228	290	29	1
230	290	29	1
242	290	29	2
245	290	29	1
222	291	29	2
225	291	29	2
226	291	29	1
240	291	29	1
246	291	29	1
248	291	29	1
225	292	29	1
236	292	29	1
239	292	29	1
247	292	29	2
249	292	29	1
222	293	29	1
223	293	29	1
225	293	29	1
239	293	29	1
247	293	29	1
248	293	29	1
252	293	29	1
220	295	29	1
241	295	29	1
245	295	29	2
219	296	29	2
223	296	29	1
252	296	29	1
227	297	29	1
238	297	29	1
241	297	29	1
242	297	29	2
221	298	29	1
224	298	29	2
245	298	29	2
222	299	29	1
226	299	29	1
240	299	29	1
225	300	29	1
226	300	29	2
235	300	29	2
237	300	29	2
240	300	29	2
247	300	29	1
221	301	29	1
223	301	29	1
224	301	29	1
227	301	29	1
236	301	29	1
224	302	29	2
233	254	30	1
236	254	30	1
227	255	30	1
230	255	30	1
230	256	30	1
235	256	30	2
183	257	30	2
190	257	30	1
215	257	30	1
236	257	30	1
237	257	30	1
239	257	30	1
176	258	30	2
215	258	30	1
233	258	30	1
236	258	30	1
237	258	30	1
239	258	30	2
195	259	30	1
218	259	30	1
228	259	30	1
230	259	30	1
234	259	30	1
235	259	30	1
190	260	30	3
197	260	30	1
219	260	30	1
223	260	30	1
225	260	30	1
227	260	30	1
235	260	30	2
238	260	30	3
240	260	30	2
186	261	30	2
188	261	30	1
208	261	30	1
216	261	30	1
218	261	30	2
229	261	30	1
231	261	30	1
232	261	30	1
238	261	30	2
239	261	30	1
241	261	30	2
249	261	30	2
186	262	30	1
188	262	30	1
193	262	30	1
216	262	30	1
219	262	30	1
222	262	30	1
227	262	30	1
233	262	30	1
240	262	30	1
242	262	30	1
248	262	30	1
185	263	30	1
186	263	30	2
189	263	30	1
193	263	30	1
197	263	30	1
218	263	30	2
222	263	30	1
226	263	30	2
227	263	30	1
228	263	30	2
230	263	30	1
232	263	30	1
178	264	30	1
195	264	30	1
225	264	30	1
228	264	30	1
236	264	30	1
238	264	30	2
239	264	30	2
245	264	30	1
196	265	30	3
200	265	30	1
205	265	30	1
213	265	30	1
228	265	30	2
231	265	30	1
233	265	30	1
234	265	30	1
236	265	30	1
238	265	30	1
247	265	30	1
184	266	30	1
189	266	30	2
195	266	30	1
212	266	30	1
219	266	30	1
228	266	30	1
229	266	30	1
230	266	30	1
232	266	30	1
243	266	30	1
189	267	30	1
199	267	30	1
214	267	30	1
228	267	30	1
235	267	30	1
238	267	30	1
240	267	30	1
245	267	30	1
250	267	30	1
172	268	30	1
188	268	30	1
211	268	30	1
213	268	30	2
214	268	30	1
217	268	30	2
230	268	30	1
231	268	30	1
235	268	30	1
241	268	30	1
245	268	30	1
249	268	30	1
182	269	30	1
191	269	30	1
204	269	30	3
211	269	30	1
214	269	30	1
216	269	30	1
236	269	30	1
240	269	30	2
242	269	30	1
244	269	30	3
248	269	30	2
250	269	30	1
178	270	30	1
196	270	30	1
198	270	30	1
200	270	30	2
201	270	30	1
214	270	30	1
217	270	30	1
223	270	30	1
227	270	30	1
231	270	30	1
232	270	30	1
238	270	30	1
244	270	30	1
181	271	30	1
199	271	30	1
201	271	30	1
207	271	30	1
208	271	30	1
211	271	30	1
212	271	30	1
225	271	30	2
232	271	30	1
249	271	30	1
180	272	30	1
181	272	30	1
182	272	30	1
207	272	30	1
224	272	30	1
238	272	30	1
239	272	30	1
244	272	30	1
245	272	30	1
250	272	30	1
183	273	30	1
203	273	30	1
210	273	30	1
211	273	30	1
214	273	30	1
231	273	30	1
234	273	30	1
239	273	30	1
241	273	30	1
246	273	30	1
182	274	30	1
183	274	30	3
209	274	30	1
236	274	30	1
251	274	30	1
180	275	30	1
183	275	30	1
212	275	30	1
215	275	30	1
233	275	30	1
235	275	30	1
250	275	30	1
251	275	30	1
206	276	30	1
207	276	30	1
235	276	30	1
236	276	30	1
239	276	30	1
241	276	30	1
180	277	30	1
206	277	30	1
235	277	30	2
238	277	30	2
243	277	30	1
247	277	30	1
203	278	30	1
208	278	30	1
235	278	30	2
236	278	30	2
237	278	30	1
247	278	30	1
248	278	30	1
249	278	30	2
219	279	30	1
236	279	30	1
245	279	30	1
252	279	30	2
254	279	30	1
175	280	30	1
178	280	30	1
